Label,altLabel,Bounding Box
Afghanistan,,"60.53,29.32,75.16,38.49"
Åland Islands,Aland,"19.0832,59.4542,21.3456,60.8767"
Albania,,"19.3,39.62,21.02,42.69"
Algeria,,"-8.68,19.06,12,37.12"
American Samoa,,"-171.1419,-14.6018,-168.1016,-10.9972"
Andorra,,"1.413578,42.428824,1.786664,42.655936"
Angola,,"11.64,-17.93,24.08,-4.44"
Anguilla,,"-63.6392,18.061546,-62.712545,18.79512"
Antarctica,,"-179.99,-89.99,179.99,-63.27"
Antigua and Barbuda,,"-62.5548,16.7556,-61.4476,17.9473"
Argentina,,"-73.42,-55.25,-53.63,-21.83"
Armenia,,"43.58,38.74,46.51,41.25"
Aruba,,"-70.269568,12.25783,-69.661236,12.823"
Australia,,"113.34,-43.63,153.57,-10.67"
Austria,,"9.48,46.43,16.98,49.04"
Azerbaijan,,"44.79,38.27,50.39,41.86"
Bahamas,,"-78.98,23.71,-77,27.04"
Bahrain,,"50.2698,25.535,50.9234,26.6872"
Bangladesh,,"88.08,20.67,92.67,26.45"
Barbados,,"-59.856212,12.845,-59.214718,13.535"
Belarus,,"23.2,51.32,32.69,56.17"
Belgium,,"2.51,49.53,6.16,51.48"
Belize,,"-89.23,15.89,-88.11,18.5"
Benin,,"0.77,6.14,3.8,12.24"
Bermuda,,"-65.123223,32.046965,-64.410984,32.59137"
Bhutan,,"88.81,26.72,92.1,28.3"
Bolivia,Bolivia (Plurinational State of),"-69.59,-22.87,-57.5,-9.76"
"Bonaire, Sint Eustatius and Saba",,"-63.198611,17.276735,-62.784706,17.726993"
Bosnia and Herzegovina,,"15.75,42.65,19.6,45.23"
Botswana,,"19.9,-26.83,29.43,-17.66"
Bouvet Island,,"2.934553,-54.654,3.77911,-54.187"
Brazil,,"-73.99,-33.77,-34.73,5.24"
British Indian Ocean Territory,,"71.1873,-7.4941,72.545,-5.1857"
British Virgin Islands,,"-64.955961,18.105531,-64.05973,18.95038"
Brunei,Brunei Darussalam,"114.2,4.01,115.45,5.45"
Bulgaria,,"22.38,41.23,28.56,44.23"
Burkina Faso,,"-5.47,9.61,2.18,15.12"
