ID,Bounding Box,Title
30997baf-cf33-4788-858b-17adbd746a52,"-88.64106459,45.98485537,-88.6349982,45.98569087","41N 35W - Survey Map of Stambaugh Township, Iron County [Michigan]"
9e95e6be-f6ac-488b-b691-7d64dd356fae,"-85.69159652,46.67898691,-85.64173758,46.68067173","50N 11W - Survey Map of McMillan Township, Luce County [Michigan]"
b485e47e-25f7-487c-9456-dfe75752b7cc,"-83.0599,42.36,-83.06,42.3601",[Detroit City Center plat map]
p16022coll246:150,"-179.5,-90,179.5,90","[Double cordiform map of the world, 1538]"
p16022coll230:4264,"74.91666667,8.033333333,160.2166667,12.5",[Map of southern India]
p16022coll230:4255,"73.4,13.36666667,162.1833333,17.08333333",[Map of the peninsula of India from the Krishnah River to Cape Comorin drawn chiefly from materials in the collection of Alexander Da'rymple esq.]
p16022coll230:897,"-180,-85,180,84.9833",[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el anÌo de 1500
p16022coll230:656,"-180,-85,180,84.9833",[Outline map of the world] : route round the world flight
p16022coll246:348,"19.98,-47.21,-179.81,34.38",A chart of the Indian Ocean : improved from the chart of M. D'Apres De Mannevillette ; with the addition of a part of the Pacifi
p16022coll230:325,"-179.5,-90,179.5,90",A combined view of the principal mountains & rivers in the world : accompanied by a table shewing their relative heights & lengt
de8488f2-478e-40a9-854a-0393725fa5ab,"9.1333,-60.2333,-27.0667,78.2",A compleat chart of the coast of Asia and America with the great South Sea
92200365-e1d1-4db5-9e0e-0b99bf75e34b,"-83.7499,42.29,-83.74,42.2901","A map of Ann Arbor, Washtenaw County, State of Michigan."
p16022coll230:2756,"144.4,-14.75,-64.35,71.6","A map of South America, Central America and the West Indies, on Mercator's projection, having special reference to the principal forest regions and the chief timber trees"
fdc51c67-93f3-4682-aac9-fb21a76e6600,"-180,-85,180,85",A map of the discoveries made by the Russians on the North West Coast of America
48f0ad61-007c-493b-a641-98b68071856c,"3.75,42.75,5.75,45",A map of the state of Vermont
p16022coll246:224,"25,-12.93,-168.35,81.66","A new & accurate map of Asia : drawn from actual surveys, and otherwise collected from journals ; assisted by the most approved modern maps & charts. the whole being regulated by astron. observations"
p16022coll230:881,"-113.5667,6.4333,-112.6667,78.5833","A new and correct map of North America with the West India Islands : divided according to the last Treaty of Peace, concluded at Paris the 20th of Jan. 1783. wherein are particularly distinguished the thirteen provinces wich [sic] compose the United States of North America"
p16022coll230:537,"170,10,-10,80",A new map of North America agreeable to the latest discoveries
p16022coll205:486,"-71.97391,41.9483,-71.9739,41.94831",A plan of the north half of the township of Woodstock [Conn.]
72a691b8-689a-4997-8786-8cafca71142b,"73.3316,16.5598,73.3343,16.5625",A plan of the town & fortress of Gariah belonging to Angria the admiral to the Sahou Rajah on the coast of Mallabar.
p16022coll205:588,"-80.08331,42.1167,-80.0833,42.11671",A Plan of the town of Erie with the out lots
p16022coll205:511,"-79.81671,41.4,-79.8167,41.41",A Plan of the town of Franklin with the out lots
