Portal,Resource
05a-01,opendata-website-polk
05a-01,opendata-website-clearwater
05a-01,opendata-website-clay
05a-01,opendata-website-carver
05a-01,opendata-website-ottertail
05a-01,water-emergency-response-areas
05a-01,opendata-website-sherburne
05a-01,opendata-website-anoka
05a-01,opendata-website-bigstone
05a-01,opendata-website-hubbard
05a-01,opendata-website-stearns
05a-01,opendata-website-scott
05a-01,opendata-website-pope
05a-01,opendata-website-chisago
05a-01,opendata-website-becker
05a-01,opendata-website-carlton
08f-01,port-authority-of-allegheny-county-transit-stops
08f-01,port-authority-scheduled-trip-counts
08f-01,port-authority-transit-stop-usage
08f-01,port-authority-schedule-period-lookup
08f-01,port-authority-monthly-average-ridership-by-route
08f-01,port-authority-current-transit-routes
08f-01,http-truetime-portauthority-org-bustime-home-jsp
08f-01,port-authority-of-allegheny-county-park-and-rides
