Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
"1917 general plan Minneapolis, Minnesota : showing complete street and park system","1917 general plan Minneapolis, Minnesota : showing complete street and park system",,,71 x 46 centimeters,"Scale approximately 1:24,000.",English,Minneapolis (Minn.).Civic Commission.,"Minneapolis Engraving & Colorplate Company, (Minneapolis)",,City Planning Minnesota Minneapolis Maps|Streets Minnesota Minneapolis Maps|Parks Minnesota Minneapolis Maps,1917,,,https://umedia.lib.umn.edu/item/p16022coll245:973,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/973/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/973,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/973/manifest.json,U|M|N|_|A|L|M|A|:|9|9|6|2|9|4|6|1|7|0|0|0|1|7|0|0,p16022coll245:973,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Minneapolis,Minnesota,United States,North America,,
Como,Como,,,62 x 79 centimeters,"Scale approximately 1:2,400.",English,"Johnson, Gates A., Jr.","[publisher not identified], (Saint Paul?)",,,1857?,,,https://umedia.lib.umn.edu/item/p16022coll245:976,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/976/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/976,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/976/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|4|0|6|4|4|0|9|1|0|1|7|0|0,p16022coll245:976,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
Curtice's standard guide map of the city of St. Paul,Curtice's standard guide map of the city of St. Paul,,,62 x 84 centimeters,"Scale approximately 1:19,200. 1600 ft. to an in.",English,"Curtice, David L.","David L. Curtice, ((Minneapolis?))",,,1902,,,https://umedia.lib.umn.edu/item/p16022coll245:967,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/967/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/967,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/967/manifest.json,U|M|N|_|A|L|M|A|:|9|9|6|3|6|2|8|8|2|0|0|0|1|7|0|0,p16022coll245:967,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
"Curtice's standard guide map of the city of St. Paul : prepared especially for R.L. Polk Cos. city directory, 1891","Curtice's standard guide map of the city of St. Paul : prepared especially for R.L. Polk Cos. city directory, 1891",,,63 x 83 centimeters on sheet 67 x 102 centimeters,"Scale [1:19,200].",English,"Curtice, D. L.(David L.),1828-1902.","David L. Curtice, (Minnesota), 1891",,,1891,,,https://umedia.lib.umn.edu/item/p16022coll245:980,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/980/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/980,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/980/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|5|0|1|8|2|9|0|0|0|1|7|0|0,p16022coll245:980,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
"Curtice's standard guide map of the city of St. Paul : prepared especially for R.L. Polk & Cos. city directory, 1893","Curtice's standard guide map of the city of St. Paul : prepared especially for R.L. Polk & Cos. city directory, 1893",,,62 x 83 centimeters,"Scale 1:19,200. 1600 ft. to an in.",English,"Curtice, D. L.(David L.),1828-1902.","David L. Curtice, (Saint Paul), 1892",,,1892,,,https://umedia.lib.umn.edu/item/p16022coll245:985,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/985/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/985,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/985/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|9|8|7|2|8|0|0|0|0|1|7|0|0,p16022coll245:985,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
"Curtice's standard guide map of the city of St. Paul : prepared specially for R.L. Polk & Cos. city directory, 1896","Curtice's standard guide map of the city of St. Paul : prepared specially for R.L. Polk & Cos. city directory, 1896",,,62 x 84 centimeters on sheet 72 x 103 centimeters,"Scale [1:19,200].",English,"Curtice, D. L.(David L.),1828-1902.","David L. Curtice, (Saint Paul, Minn.)",,,1896,,,https://umedia.lib.umn.edu/item/p16022coll245:964,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/964/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/964,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/964/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|5|0|2|9|8|1|0|0|0|1|7|0|0,p16022coll245:964,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
"Curtice's standard guide map of the city of St. Paul : prepared specially for R.L. Polk & Cos. city directory, 1897","Curtice's standard guide map of the city of St. Paul : prepared specially for R.L. Polk & Cos. city directory, 1897",,,62 x 84 centimeters,"Scale 1:19,200. 1600 ft. to an in.",English,"Curtice, D. L.(David L.),1828-1902.","David L. Curtice, (Saint Paul)",,Bicycle Trails Minnesota Saint Paul Maps|Street Railroads Minnesota Saint Paul Maps,1897,,,https://umedia.lib.umn.edu/item/p16022coll245:960,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/960/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/960,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/960/manifest.json,U|M|N|_|A|L|M|A|:|9|9|1|6|6|7|8|1|6|0|0|0|1|7|0|0,p16022coll245:960,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
"Growth of the city of St. Paul, Minn.","Growth of the city of St. Paul, Minn.",,,19 x 26 centimeters,,English,,"[publisher not identified], (Minn.?)",,Annexation (Municipal Government) Minnesota Saint Paul Maps,1912?,,,https://umedia.lib.umn.edu/item/p16022coll245:955,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/955/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/955,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/955/manifest.json,U|M|N|_|A|L|M|A|:|9|9|1|9|0|7|7|1|6|0|0|0|1|7|0|0,p16022coll245:955,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Saint Paul,Minnesota,United States,North America,,
Historical map and tableau : containing and showing facts and events of great importance from 1838-1903.,Historical map and tableau : containing and showing facts and events of great importance from 1838-1903.,,,56 x 87 centimeters,Scale approximately 1:600,English,,"[publisher not identified], (United States)",,Catholics Minnesota Saint Paul Maps,1902,,,https://umedia.lib.umn.edu/item/p16022coll245:977,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/977/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/977,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/977/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|7|0|0|6|8|9|0|0|0|1|7|0|0,p16022coll245:977,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,,Minnesota,United States,North America,,
Hudson's indexed map of Minneapolis.,Hudson's indexed map of Minneapolis.,,,82 x 52 centimeters,"Scale approximately 1:22,000.",English,Hudson Map Company.,"Hudson Co., (Minneapolis)",,,1920 - 1929,,,https://umedia.lib.umn.edu/item/p16022coll245:954,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll245/id/954/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll245/id/954,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll245/954/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|9|8|8|8|8|6|0|0|0|1|7|0|0,p16022coll245:954,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-02-26T00:00:00Z,Minneapolis and St. Paul Maps and Atlases,p16022coll245,Minneapolis,Minnesota,United States,North America,,
