Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
Amenity,Amenity,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:62,500",English,,,,Thematic Map,,,,https://umedia.lib.umn.edu/item/p16022coll289:28,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/28/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/28,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/28/manifest.json,,p16022coll289:28,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Composite Intrinsic Suitability,An Ecological Study for the Twin Cities Metropolitan Area: Composite Intrinsic Suitability,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:62,500",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:20,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/20/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/20,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/20/manifest.json,,p16022coll289:20,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Existing Forest Cover,An Ecological Study for the Twin Cities Metropolitan Area: Existing Forest Cover,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,,English,,"Wallace, McHarg, Roberts and Todd",,Thematic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:5,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/5/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/5,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/5/manifest.json,,p16022coll289:5,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Existing Vegetation,An Ecological Study for the Twin Cities Metropolitan Area: Existing Vegetation,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:62,500",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:29,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/29/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/29,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/29/manifest.json,,p16022coll289:29,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Hydrology,An Ecological Study for the Twin Cities Metropolitan Area: Hydrology,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,,English,,"Wallace, McHarg, Roberts and Todd",,Thematic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:32,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/32/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/32,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/32/manifest.json,,p16022coll289:32,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Physiography,An Ecological Study for the Twin Cities Metropolitan Area: Physiography,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:62,500",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:8,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/8/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/8,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/8/manifest.json,,p16022coll289:8,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Slope,An Ecological Study for the Twin Cities Metropolitan Area: Slope,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:62,500",English,,"Wallace, McHarg, Roberts and Todd",,Topographic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:23,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/23/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/23,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/23/manifest.json,,p16022coll289:23,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Soils-Generalized,An Ecological Study for the Twin Cities Metropolitan Area: Soils-Generalized,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,,English,,"Wallace, McHarg, Roberts and Todd",,Thematic Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:34,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/34/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/34,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/34/manifest.json,,p16022coll289:34,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
An Ecological Study for the Twin Cities Metropolitan Area: Surficial Geology,An Ecological Study for the Twin Cities Metropolitan Area: Surficial Geology,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:62,500",English,,"Wallace, McHarg, Roberts and Todd",,Geological Map,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:11,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/11/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/11,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/11/manifest.json,,p16022coll289:11,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Conservation,Conservation,,"Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,,English,,,,Thematic Map,,,,https://umedia.lib.umn.edu/item/p16022coll289:15,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/15/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/15,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/15/manifest.json,,p16022coll289:15,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2018-06-19T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
