Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
Albania,Albania,,Relief shown by landform drawings and hachures.; Oriented with north toward upper right.; Perspective view.,35 x 63 centimeters,Scale not given,English,American Geographical Society of New York,American Geographical Society (New York City),,,1910 - 1919?,,,https://umedia.lib.umn.edu/item/p16022coll230:3503,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3503/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3503,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3503/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|2|2|6|3|6|0|0|0|0|1|7|0|1,p16022coll230:3503,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Albania,Europe,,E0180000 E0213000 N0433000 N0393000|(E 18°00ʹ--E 21°30ʹ/N 43°30ʹ--N 39°30ʹ)
A new map of Denmark,A new map of Denmark,,"Published as the Act directs, by Harrison and Co. Dec. 1, 1782.; In: The Geographical Magazine ... By William Frederick Martyn. Vol. 2. page 41.",18 x 25 centimeters,"Scale approximately 1:2,600,000; 40 miles to an inch.",English,"Bayly, John",Harrison and Co (London),,,1782,,,https://umedia.lib.umn.edu/item/p16022coll230:3474,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3474/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3474,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3474/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|5|4|2|1|1|9|2|9|0|1|7|0|1,p16022coll230:3474,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Denmark,Europe,,"E0060000 E0163000 N0580000 N0535000|(E 6°00'00""--E 16°30'00""/N 58°00'00""--N 53°50'00"")"
"A new map of Denmark, Norway, Sweden & Moscovy, shewing their present general divisions, chief cities or towns, rivers, mountains &c","A new map of Denmark, Norway, Sweden & Moscovy, shewing their present general divisions, chief cities or towns, rivers, mountains &c",,"Relief shown pictorially.; Map of Scandinavia and adjoining areas.; Plate [26] from: A new sett of maps both of antient and present geography / by Edward Wells. Oxford : Printed at the Theater, 1700.",37 x 51 centimeters,"Scale approximately 1:1,600,000",English,"Wells, Edward, 1667-1727",Printed at the Theater (Oxford),,,1700,,,https://umedia.lib.umn.edu/item/p16022coll230:3484,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3484/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3484,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3484/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|0|5|2|5|9|3|0|0|0|1|7|0|1,p16022coll230:3484,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Denmark|Norway|Sweden|Russia,Europe,,"E0014200 E0594200 N0711700 N0500700|( E 1°42'00""--E 59°42'00""/N 71°17'00""--N 50°07'00"")"
"A new map of Spain and Portugal, exhibiting the chains of mountains with their passes the principal & cross roads, with other detail requisite for the intelligence of military operations","A new map of Spain and Portugal, exhibiting the chains of mountains with their passes the principal & cross roads, with other detail requisite for the intelligence of military operations",,"With an explanatory ""advertisement"" giving the sources of the map detail and a table setting out distances between major towns.",112 x 156 centimeters,"Scale approximately 1:870,000; 14 miles to 1 inch.",English,"Nantiat, Jasper","Published by W. Faden,  Geographer to His Majesty and to His Royal Highness the Prince of Wales,  Charing Cross (London)",,"Peninsular War (1807 1814)|Peninsular War, 1807 1814",1810-01-01,,,https://umedia.lib.umn.edu/item/p16022coll230:3472,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3472/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3472,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3472/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|5|4|4|0|8|0|9|2|0|1|7|0|1,p16022coll230:3472,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Spain|Portugal,Europe,,"W0093000 E0040500 N0453400 N0360000|(W 9°30'00""--E 4°05'00""/N 45°34'00""--N 36°00'00"")"
A new map of the Baltick &c. : shewing all the dominions about it with ye great or post roads and principal cross-roads,A new map of the Baltick &c. : shewing all the dominions about it with ye great or post roads and principal cross-roads,,Inset (separate scale): A chart of the sound or passes into the Baltick Seas according to a draught lately taken.; Relief shown pictorially.; Prime Meridian: London.,52 x 62 centimeters,"Scale approximately 1:2,900,000",English,"Moll, Herman, -1732",Herman Moll (London),,Roads|Roads|Maps,1720?,,,https://umedia.lib.umn.edu/item/p16022coll230:3537,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3537/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3537,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3537/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|0|1|3|9|3|5|0|0|0|1|7|0|1,p16022coll230:3537,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,,Europe,,"W0005900 E0295200 N0631800 N0391700|(W 0°59'00""--E 29°52'00""/N 63°18'00""--N 39°17'00"")"
A new map of the Kingdom of Poland with its dismembered provinces,A new map of the Kingdom of Poland with its dismembered provinces,,"Relief shown pictorially.; Shows vegetation, marshes, etc.; Appears in T. Kitchin's General atlas, describing the whole universe.",46 x 64 centimeters,"Scale approximately 1:2,450,000",English,"Sayer, Robert, 1725-1794","Printed for Robert Sayer,  Fleet Street (London)",,,1787-01-01,,,https://umedia.lib.umn.edu/item/p16022coll230:3494,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3494/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3494,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3494/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|5|4|7|2|3|1|0|0|0|1|7|0|1,p16022coll230:3494,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Poland,Europe,,E0120000 E0370000 N0572000 N0472000|(E 12°00ʹ--E 37°00ʹ/N 57°20ʹ--N 47°20ʹ)
Aschehougs Kart over Sór-Norge. Nordlige del,Aschehougs Kart over Sór-Norge. Nordlige del,,Document cartographique.; Norvège.,In-folio,"Scale 1:500,000",Norwegian,"Gleditsch, K.G",H. Aschehoug (Oslo),,,1929,,,https://umedia.lib.umn.edu/item/p16022coll230:3425,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3425/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3425,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3425/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|3|4|5|0|2|7|0|0|0|1|7|0|1,p16022coll230:3425,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Norway,Europe,,"E0035500 E0143600 N0662600 N0580000|(E 3°55'00""--E 14°36'00""/N 66°26'00""--N 58°00'00"")"
Austria Hungary,Austria Hungary,,"Relief shown by hachures.; ""Mountains engraved by E. F. Woodward, Phila.""; ""Reduced and compiled under the direction of Col. J. J. Abert in the Bureau of the Corps of Topl. Engrs. by Lieut. W. H. Emory from the map published in 1842 and from other authorities in 1843. W. J. Stone, Sc.""",105 x 174 centimeters,"Scale 1:1,000,000",English,American Geographical Society of New York,American Geographical Society (New York),,,1910 - 1919?,,,https://umedia.lib.umn.edu/item/p16022coll230:3409,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3409/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3409,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3409/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|7|0|0|0|4|4|0|0|0|1|7|0|1,p16022coll230:3409,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Austria|Hungary,Europe,,"E0093100 E0225800 N0490100 N0454200|(E 9°31'00""--E 22°58'00""/N 49°01'00""--N 45°42'00"")"
Austrian Dominions,Austrian Dominions,,"Neele sculp. ....; Shows boundaries, rivers, roads and principal settlements.; Relief shown by hachures and shading.; Greenwich meridian.",50 x 61 centimeters,"Scale [1: 2,500,000]",English,,Drawn & engraved for Thomson's New General Atlas (Edinburgh),,,1816,,,https://umedia.lib.umn.edu/item/p16022coll230:3511,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3511/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3511,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3511/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|0|1|0|0|6|4|0|0|0|1|7|0|1,p16022coll230:3511,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,,Europe,,"E0093100 E0231600 N0511700 N0453100|(E 9°31'00""--E 23°16'00""/N 51°17'00""--N 45°31'00"")"
"Automobilkarte fúr Ober- und Niederósterreich, Salzburg, Steiermark, Kärnten, und Burgenland","Automobilkarte fúr Ober- und Niederósterreich, Salzburg, Steiermark, Kärnten, und Burgenland",,"Relief shown by hachures and spot heights.; On verso: advertisements, travel information, and city major road insets: Wr.-Neustadt -- Salzburg -- Linz -- Klagenfurt -- Graz -- Wien.","77 x 98 centimeters, folded to 20 x 15 centimeters","Scale 1:350,000",German,"Bier, Adolf",Universitäts-Verlag Wagner (Innsbruck),,Roads|Roads,1928,,,https://umedia.lib.umn.edu/item/p16022coll230:3378,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/3378/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/3378,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/3378/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|0|1|7|1|6|7|0|0|0|1|7|0|1,p16022coll230:3378,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2021-12-08T00:00:00Z,General Map Collection,p16022coll230,,,Austria,Europe,,"E0093100 E0170900 N0490100 N0462200|(E 9°31'00""--E 17°09'00""/N 49°01'00""--N 46°22'00"")"
