Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
"A Chronological chart of ancient, modern and Biblical history","A Chronological chart of ancient, modern and Biblical history",,2d ed.,color table on sheet ; 70 x 657 cm folded to 70 x 35 cm,Not drawn to scale.,English,"Adams, Sebastian C",,,"Chronology, Historical Charts, Diagrams, Etc",1876,,,https://umedia.lib.umn.edu/item/p16022coll230:306,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/306/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/306,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/306/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|1|7|1|0|0|2|0|0|0|1|7|0|1,p16022coll230:306,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,,,,,"W0202500 E1561400 N0784500 S0394900|(W 20°25'00""-E 156°14'00""/N 78°45'00""-S 39°49'00"")"
"A Chronological chart of ancient, modern and Biblical history","A Chronological chart of ancient, modern and Biblical history","Cover title: Adams' synchronological chart or map of history. Includes illus., port., etc.","3rd ed., carefully and critically rev. and brought down to 1878.","Color table on sheet ; 70 x 677 cm, folded to 70 x 35 cm.",Not drawn to scale.,English,"Adams, Sebastian C","Colby (New York), 1871",,"Chronology, Historical Charts, Diagrams, Etc",1878?,,,https://umedia.lib.umn.edu/item/p16022coll230:318,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/318/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/318,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/318/manifest.json,U|M|N|_|A|L|M|A|:|9|9|1|7|7|7|9|9|7|0|0|0|1|7|0|1,p16022coll230:318,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,,,,,"W0202500 E1561400 N0784500 S0394900|(W 20°25'00""-E 156°14'00""/N 78°45'00""-S 39°49'00"")"
A combined view of the principal mountains & rivers in the world : accompanied by a table shewing their relative heights & lengt,A combined view of the principal mountains & rivers in the world : accompanied by a table shewing their relative heights & lengt,"Cartographic Details: Scale approximately 1:24,000. Relief shown by hachures, spot heights, and pictorially. Hand? colored. Includes text and indexed statistical tables.",,"1 map : color, on cloth ; 41 x 59 cm, bound in cover 21 x 15 cm","Scale approximately 1:24,000",English,Gardner|C. Smith & Son,C. Smith (London),,Mountains Maps|Rivers Maps|Volcanoes Maps|World Maps|Maps,1830,,,https://umedia.lib.umn.edu/item/p16022coll230:325,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/325/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/325,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/325/manifest.json,U|M|N|_|A|L|M|A|:|9|9|1|6|2|2|9|0|1|0|0|0|1|7|0|1,p16022coll230:325,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,,,,,W1800000 E1800000 N0900000 S0900000|(W 180°--E 180°/N 90°--S 90°)
A diocesan map of the Church of England in Newfoundland and Labrador : showing the deaneries and missions,A diocesan map of the Church of England in Newfoundland and Labrador : showing the deaneries and missions,"Cartographic Details: Scale [1:1,250,000] (W 65°30'--W 52°30'/N 61°15'--N46°20') Probably done by Joseph James Curling as preface on accompanying text (catalogued separately) is signed J.J.C. Relief shown by hachures and spot heights in feet. Insets: [continuation of map] -- [North Atlantic Ocean].",,1 map : color ; 60 x 94 cm,"Scale [1:1,250,000]",English,"James Curling, Joseph James",Edward Standord (London),,Church of England Missions Newfoundland and Labrador|Church of England Dioceses Newfoundland and Labrador|Dioceses Newfoundland and Labrador Maps|Missions Newfoundland and Labrador Geography Maps|Maps,1877,,,https://umedia.lib.umn.edu/item/p16022coll230:324,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/324/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/324,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/324/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|8|9|7|7|7|4|0|0|0|1|7|0|1,p16022coll230:324,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,Newfoundland and Labrador,Canada,North America,,W0653000 W0523000 N0611500 N0462000|(W 65°30'--W 52°30'/N 61°15'--N46°20')
Betts's new map of Ireland : accurately reduced from the beautiful six sheet map engraved under the superintendence of the Railw,Betts's new map of Ireland : accurately reduced from the beautiful six sheet map engraved under the superintendence of the Railw,"Cartographic Details: Scale 1:633,660 (W 10°40--W 5°20 /N 55°26--N 51°20) On cover: [John] Betts's road & railroad map of Ireland.",,1 map : color ; 78 x 64 cm,"Scale 1:633,660",English,,J. Betts (London),,Roads Ireland Maps|Railroads Ireland Maps|Ireland Maps|Maps,1800 - 1899,,,https://umedia.lib.umn.edu/item/p16022coll230:319,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/319/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/319,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/319/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|1|7|9|0|5|7|0|0|0|1|7|0|1,p16022coll230:319,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,,Ireland,Europe,,W0104000 W0052000 N0552600 N0512000|(W 10⁰40ʹ--W 5⁰20ʹ /N 55⁰26ʹ--N 51⁰20ʹ)
Carte des chemins de fer et autres voies de communication de l'empire Français,Carte des chemins de fer et autres voies de communication de l'empire Français,"Cartographic Details: Scale approximately 1:1,020,000 (W 7°--E 6°N 51°--N 42°). Date on cover is 1857; date on map is 1856.",,"1 map : color, dissected, mounted on cloth, and bound ; 105 x 100 cm","Scale approximately 1:1,020,000",French,,L. Sagansan (Paris),,Railroads France Maps|France Maps|Maps,18561857,,,https://umedia.lib.umn.edu/item/p16022coll230:322,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/322/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/322,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/322/manifest.json,U|M|N|_|A|L|M|A|:|9|9|2|1|0|4|6|1|7|0|0|0|1|7|0|1,p16022coll230:322,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,,,,,W0070000 E0060000 N0510000 N0420000|(W 7°--E 6°/N 51°--N 42°)
"Clay County, Minnesota","Clay County, Minnesota","Cartographic Details: Scale not given. Townships shown in color, includes grid lines, cities, schools, and state ditches. Alt. title from copyright statement: ""Clay Co., Minn."" Original border title supplied from publisher's pattern, border trimmed on local copy.",,37 x 28 centimeters,Scale not given.,English,Shedd & Wright Mfg. Co.,"Shedd & Wright (Austin, Minnesota), 1907",,Schools Minnesota Clay County Maps|Ditches Minnesota Clay County Maps|Clay County (Minn.) Administrative and Political Divisions Maps|Maps,1907,,,https://umedia.lib.umn.edu/item/p16022coll231:28,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll231/id/28/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll231/id/28,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll231/28/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|0|4|6|2|5|0|0|0|0|1|7|0|1,p16022coll231:28,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,"Minnesota County Maps, Plat Books, and Atlases",p16022coll231,,Minnesota,United States,North America,Clay County,
"Cottonwood County, Minnesota","Cottonwood County, Minnesota","Cartographic Details: Scale not given. Townships shown in color, includes grid lines, cities, schools, churches, creameries, ""rural routes,"" and bodies of water. Alt. title from copyright statement: ""Cottonwood Co., Minn.""",,26 x 32 centimeters,Scale not given.,English,Shedd & Wright Mfg. Co.,"Shedd & Wright (Austin, Minnesota), 1907",,Creameries Minnesota Cottonwood County Maps|Schools Minnesota Cottonwood County Maps|Church Buildings Minnesota Cottonwood County Maps|Rural Roads Minnesota Cottonwood County Maps|Cottonwood County (Minn.) Administrative and Political Divisions Maps|Maps,1907,,,https://umedia.lib.umn.edu/item/p16022coll231:43,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll231/id/43/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll231/id/43,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll231/43/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|0|4|5|6|1|7|0|0|0|1|7|0|1,p16022coll231:43,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,"Minnesota County Maps, Plat Books, and Atlases",p16022coll231,,Minnesota,United States,North America,Cottonwood County,
Fish and game habitats and recreational areas in the state of Maryland,Fish and game habitats and recreational areas in the state of Maryland,Includes pictorial index to fish and game species.,,51 x 93 cm,Scale not given.,English,Maryland. Conservation Department.,Maryland. Conservation Department.,,Outdoor Recreation Maryland Maps|Forest Reserves Maryland Maps|Fishing Maryland Maps|Hunting Maryland Maps|Maryland Maps,1939,,,https://umedia.lib.umn.edu/item/p16022coll230:309,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/309/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/309,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/309/manifest.json,U|M|N|_|A|L|M|A|:|9|9|1|5|4|5|4|2|3|0|0|0|1|7|0|1,p16022coll230:309,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,General Map Collection,p16022coll230,,Maryland,United States,North America,,"W0792900 W0745900 N0394300 N0375300|(W 79ʻ29'00""--W 74ʻ59'00""/N 39ʻ43'00""--N 37ʻ53'00"")"
"Geological map of Hennepin County, Minn","Geological map of Hennepin County, Minn","Cartographic Details: Scale not given. Photocopy. ""1876.""",,58 x 49 centimeters,Scale not given.,English,"Winchell, Newton Horace, 1839-1914",,,Geology Minnesota Hennepin County Maps|Hennepin County (Minn.) Maps|Maps,1876,,,https://umedia.lib.umn.edu/item/p16022coll231:57,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll231/id/57/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll231/id/57,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll231/57/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|9|1|3|4|8|0|0|0|0|1|7|0|1,p16022coll231:57,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2017-12-22T00:00:00Z,"Minnesota County Maps, Plat Books, and Atlases",p16022coll231,,Minnesota,United States,North America,Hennepin County,
