Title,Alternative Title,Description,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
"A general map of the empire of Germany, Holland, the Netherlands, Switzerland, the Grisons, Italy, Sicily, Corsica, and Sardinia","A general map of the empire of Germany, Holland, the Netherlands, Switzerland, the Grisons, Italy, Sicily, Corsica, and Sardinia",,English,,Printed for John Stockdale (London),,Europe Maps|Maps,1800,,,,,https://umedia.lib.umn.edu/item/p16022coll230:128,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/128/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/128,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/128/manifest.json,UMN_ALMA:9963418430001701,p16022coll230:128,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"A map of England & Wales : divided into counties, parlimentary divisions, & dioceses; shewing the principal roads, railways, rivers, & canals and the seats of the nobility and gentry; with the distance of each town from the general post office of London","A map of England & Wales : divided into counties, parlimentary divisions, & dioceses; shewing the principal roads, railways, rivers, & canals and the seats of the nobility and gentry; with the distance of each town from the general post office of London",,English,,S. Lewis & Co. (London),,Railroads Great Britain Maps|Roads Great Britain Maps|Great Britain Administrative and Political Divisions Maps|Maps,1841,,,EnglandWales,,https://umedia.lib.umn.edu/item/p16022coll230:4,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4/manifest.json,UMN_ALMA:9921016780001701,p16022coll230:4,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"A map of Scotland : divided into counties, shewing the principal roads, railways, rivers, canals, lochs, mountains, islands, &c","A map of Scotland : divided into counties, shewing the principal roads, railways, rivers, canals, lochs, mountains, islands, &c",,English,,S. Lewis & Co. (London),,Railroads Scotland Maps|Roads Scotland Maps|Scotland Administrative and Political Divisions Maps|Maps,1841,,,Scotland,,https://umedia.lib.umn.edu/item/p16022coll230:74,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/74/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/74,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/74/manifest.json,UMN_ALMA:9921027760001701,p16022coll230:74,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Atlas of the city of New York : from official records, private plans and actual surveys, volume 1","Atlas of the city of New York : from official records, private plans and actual surveys, volume 1",,English,,"E. Robinson (New York), 1883",,Real Property New York (State) New York Maps|New York (n.y.) Maps,1883,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:28,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/28/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/28,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/28/manifest.json,UMN_ALMA:9964158260001701,p16022coll205:28,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Atlas of the city of New York : from official records, private plans and actual surveys, volume 2","Atlas of the city of New York : from official records, private plans and actual surveys, volume 2",,English,,"E. Robinson (New York), 1884",,Real Property New York (State) New York Maps|New York (n.y.) Maps,1884,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:67,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/67/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/67,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/67/manifest.json,UMN_ALMA:9964158260001701,p16022coll205:67,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Atlas of the city of New York : from official records, private plans and actual surveys, volume 3","Atlas of the city of New York : from official records, private plans and actual surveys, volume 3",,English,,"E. Robinson (New York), 1883",,Real Property New York (State) New York Maps|New York (n.y.) Maps,1883,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:233,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/233/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/233,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/233/manifest.json,UMN_ALMA:9964158260001701,p16022coll205:233,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Atlas of the city of New York : from official records, private plans and actual surveys, volume 4","Atlas of the city of New York : from official records, private plans and actual surveys, volume 4",,English,,"E. Robinson (New York), 1884",,Real Property New York (State) New York Maps|New York (n.y.) Maps,1884,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:120,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/120/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/120,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/120/manifest.json,UMN_ALMA:9964158260001701,p16022coll205:120,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Atlas of the city of New York : from official records, private plans and actual surveys, volume 5","Atlas of the city of New York : from official records, private plans and actual surveys, volume 5",,English,,"E. Robinson (New York), 1887",,Real Property New York (State) New York Maps|New York (n.y.) Maps,1887,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:91,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/91/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/91,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/91/manifest.json,UMN_ALMA:9964158260001701,p16022coll205:91,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Atlas of the city of New York : from official records, private plans and actual surveys, volume 6","Atlas of the city of New York : from official records, private plans and actual surveys, volume 6",,English,,"E. Robinson (New York), 1888",,Real Property New York (State) New York Maps|New York (n.y.) Maps,1888,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:213,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/213/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/213,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/213/manifest.json,UMN_ALMA:9964158260001701,p16022coll205:213,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Board of Realtors atlas of the city of Duluth.,Board of Realtors atlas of the city of Duluth.,,English,,,,Duluth (Minn.) Maps|Maps,1924,,,"Duluth, Minnesota",,https://umedia.lib.umn.edu/item/p16022coll205:187,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/187/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/187,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/187/manifest.json,UMN_ALMA:9945195930001701,p16022coll205:187,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2022-09-26,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
