Title,Alternative Title,Description,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
Persia and Afghanistan,Persia and Afghanistan,,eng,,"Geographical Section, General Staff (London?)",,,1921,,1921-1921,Afghanistan,,https://umedia.lib.umn.edu/item/p16022coll230:4270,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4270,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4270/manifest.json,UMN_ALMA:9960676260001701,p16022coll230:4270,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Africa 1:125,000 : Transvaal","Africa 1:125,000 : Transvaal",,eng,,War Office (London),,,1914,,1914-1914,Africa,,https://umedia.lib.umn.edu/item/p16022coll230:4241,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4241,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4241/manifest.json,UMN_ALMA:9978278838701701,p16022coll230:4241,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Africa 1:125,000 : Transvaal","Africa 1:125,000 : Transvaal",,eng,,War Office (London),,,1914,,1914-1914,Africa,,https://umedia.lib.umn.edu/item/p16022coll230:4246,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4246,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4246/manifest.json,UMN_ALMA:9978279240601701,p16022coll230:4246,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
A Map of Emin Pasha's province,A Map of Emin Pasha's province,,eng,,"Charles Scribner's Sons (New York), 1990",,Emin Pasha Relief Expedition|Emin Pasha Relief Expedition,1890,,1890-1890,Africa,,https://umedia.lib.umn.edu/item/p16022coll230:4278,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4278,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4278/manifest.json,UMN_ALMA:9978435078601701,p16022coll230:4278,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
State of Alabama,State of Alabama,,eng,,Photo lith and print. by Julius Bien 16 & 18 Park Place N.Y (New York [N.Y),,Railroads|Land Grants,,,,Alabama,,https://umedia.lib.umn.edu/item/p16022coll230:4098,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4098,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4098/manifest.json,UMN_ALMA:9974766641901701,p16022coll230:4098,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of Alaska,Map of Alaska,,eng,,"The Survey (Washington, D.C)",,Coal,1904,,1904-1904,Alaska,,https://umedia.lib.umn.edu/item/p16022coll230:4238,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4238,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4238/manifest.json,UMN_ALMA:9978376328601701,p16022coll230:4238,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Carte particuliere de la côte du nord-ouest de l'Amérique : reconnue par les frégates Françaises la Boussole et l'Astrolabe en 1786,Carte particuliere de la côte du nord-ouest de l'Amérique : reconnue par les frégates Françaises la Boussole et l'Astrolabe en 1786,,fre,,Imprimerie de la République (Paris),,,1797,,1797-1797,Alaska|British Columbia,,https://umedia.lib.umn.edu/item/p16022coll230:4247,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4247,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4247/manifest.json,UMN_ALMA:9975252909001701,p16022coll230:4247,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Vues de la côte du nord-ouest de l'Amérique : reconnue par les frégates Françaises la Boussole et l'Astrolabe en 1786,Vues de la côte du nord-ouest de l'Amérique : reconnue par les frégates Françaises la Boussole et l'Astrolabe en 1786,,fre,,Imprimerie de la République (Paris),,,1797,,1797-1797,Alaska|Yukon Territory,,https://umedia.lib.umn.edu/item/p16022coll230:4198,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4198,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4198/manifest.json,UMN_ALMA:9975253008701701,p16022coll230:4198,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
The Federal Aid Highway System progress map : [Arizona],The Federal Aid Highway System progress map : [Arizona],,eng,,"Dept. of Agriculture, Bureau of Public Roads (Washington, D.C)",,Federal Highway Program (u.s.)|Roads|Transportation|Federal Aid to Transportation,1928,,1928-1928,Arizona,,https://umedia.lib.umn.edu/item/p16022coll230:4135,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4135,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4135/manifest.json,UMN_ALMA:9917655270001701,p16022coll230:4135,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
The Rand McNally new commercial atlas map of Arizona,The Rand McNally new commercial atlas map of Arizona,,eng,,Rand McNally & Co (Chicago?),,Railroads|Roads,1915,,1915-1915,Arizona,,https://umedia.lib.umn.edu/item/p16022coll230:4172,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4172,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4172/manifest.json,UMN_ALMA:9978344038101701,p16022coll230:4172,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Asia, scale 1:4,000,000","Asia, scale 1:4,000,000",,eng,,War Office (London),,,1927,,1927-1927,Asia,,https://umedia.lib.umn.edu/item/p16022coll230:4259,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4259,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4259/manifest.json,UMN_ALMA:9978296404501701,p16022coll230:4259,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
