Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
"Africa 1:125,000 : Transvaal","Africa 1:125,000 : Transvaal",,Relief shown by by contours and spot heights.; Includes index to adjoining sheets.; Crown Copyright Reserved.,42 x 46 Centimeters,"Scale 1:125,000. 1 inch to 1.97 miles or 1.014 inches to 2 miles",English,Great Britain. War Office,War Office (London),,,1914,,,https://umedia.lib.umn.edu/item/p16022coll230:4241,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4241/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4241,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4241/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|8|2|7|8|8|3|8|7|0|1|7|0|1,p16022coll230:4241,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,South Africa,Africa,,E0273000 E0280000 S0260000 S0263000|(E 27°30ʹ--E 28°00ʹ/S 26°00ʹ--S 26°30ʹ).
"Africa 1:125,000 : Transvaal","Africa 1:125,000 : Transvaal",,Relief shown by by contours and spot heights.; Includes index to adjoining sheets.; Crown Copyright Reserved.,42 x 46 Centimeters,"Scale 1:125,000. 1 inch to 1.97 miles or 1.014 inches to 2 miles",English,Great Britain. War Office,War Office (London),,,1914,,,https://umedia.lib.umn.edu/item/p16022coll230:4246,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4246/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4246,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4246/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|8|2|7|9|2|4|0|6|0|1|7|0|1,p16022coll230:4246,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,South Africa,Africa,,E0270000 E0273000 S0260000 S0263000|(E 27°00ʹ--E 27°30ʹ/S 26°00ʹ--S 26°30ʹ).
A Map of Emin Pasha's province,A Map of Emin Pasha's province,,Showns watercourses and mountains.; Relief shown by shading.,23 x 23 Centimeters,"Scale approximately 1:2,600,000",English,,"Charles Scribner's Sons (New York), 1990",,Emin Pasha Relief Expedition|Emin Pasha Relief Expedition,1890,,,https://umedia.lib.umn.edu/item/p16022coll230:4278,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4278/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4278,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4278/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|8|4|3|5|0|7|8|6|0|1|7|0|1,p16022coll230:4278,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,Uganda,Africa,,E0290000 E0340000 N0060000 N0010000|(E 29°--E 34°/N 6°--N 1°59').
A map of the Island of Sumatra in the East Indies,A map of the Island of Sumatra in the East Indies,,Published 1st November 1810 by Wm. Marsden.,41 x 49 Centimeters,Scale not given,English,"Marsden, William, 1754-1836",Wm. Marsden (London),,,1810,,,https://umedia.lib.umn.edu/item/p16022coll230:4271,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4271/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4271,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4271/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|8|3|0|1|9|2|0|8|0|1|7|0|1,p16022coll230:4271,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,Indonesia,Asia,,E0945900 E1061900 N0055300 S0062800|(E 94°59ʹ00ʺ--E 106°19ʹ00ʺ/N 5°53ʹ00ʺ--S 6°28ʹ00ʺ).
"A new map of Hindoostan : from the latest authorities, chiefly from the actual surveys of the Bengal provinces and of the countries lying between them and Dehly : the whole exhibiting all the military roads and passes, as well as the most accurate division of the British possessions in the East Indies","A new map of Hindoostan : from the latest authorities, chiefly from the actual surveys of the Bengal provinces and of the countries lying between them and Dehly : the whole exhibiting all the military roads and passes, as well as the most accurate division of the British possessions in the East Indies",,Relief shown pictorially.,"119 x 145 Centimeters, sheets 64 x 73 Centimeters","Scale approximately 1:2,500,000",English,"Rennell, James, 1742-1830",Laurie & Whittle (London),,,1794,,,https://umedia.lib.umn.edu/item/p16022coll230:4180,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4180/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4180,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4180/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|4|0|8|9|9|9|8|8|0|1|7|0|1,p16022coll230:4180,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,India|Sri Lanka,Asia,,"E0680600 E0972300 N0354000 N0041200|(E 68°06'00""--E 97°23'00""/N 35°40'00""--N 4°12'00"")."
"Asia, scale 1:4,000,000","Asia, scale 1:4,000,000",,"Relief shown by gradient tints,  shading, and contours.; Includes index to adjoining sheets and index to boundaries.; Includes authorities.; Crown Copyright Reserved.",76 x 94 Centimeters,"Scale 1:4,000,000 ;",English,Great Britain. War Office. General Staff. Geographical Section,War Office (London),,,1927,,,https://umedia.lib.umn.edu/item/p16022coll230:4259,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4259/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4259,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4259/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|8|2|9|6|4|0|4|5|0|1|7|0|1,p16022coll230:4259,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,India|China|Afghanistan|Nepal,Asia,Tibet Autonomous Region,E0600000 E0900000 N0400000 N0200000|(E 60° -- E 90° / N 40° -- N 20°).
"Bacon's motor road map, England & Wales : showing roads, distances and railways","Bacon's motor road map, England & Wales : showing roads, distances and railways",,"Cover title.; Title in upper centre: Bacon's motoring map of England & Wales.; Insets: On north sheet: [Northumberland, Cumberland and Durham]; on south sheet: Continuation west of Cornwall.","136 x194 Centimeters, on sheet 77 x 102 Centimeters","Scale [1:506,880]. 8 miles to 1 inch",English,,G.W. Bacon & Co (London),,Roads|Roads,1920 - 1929,,,https://umedia.lib.umn.edu/item/p16022coll230:4229,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4229/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4229,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4229/manifest.json,U|M|N|_|A|L|M|A|:|9|9|3|5|1|3|1|6|8|0|0|0|1|7|0|1,p16022coll230:4229,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,England|Wales,United Kingdom,Europe,,W0054200 E0014500 N0530700 N0495500|Not given
"Birds eye view of the city of Louisiana, Pike County, Mo. : 1876","Birds eye view of the city of Louisiana, Pike County, Mo. : 1876",,Birds-eye view.; Relief shown pictorially.; Indexed.,on sheet 34 x 42 Centimeters,Scale not given,English,"Koch, Augustus, 1840-",Chas. Shober & Co (Chicago),,,1876,,,https://umedia.lib.umn.edu/item/p16022coll205:1138,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/1138/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1138,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1138/manifest.json,U|M|N|_|A|L|M|A|:|9|9|1|5|1|6|9|3|3|0|0|0|1|7|0|1,p16022coll205:1138,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,City Maps,p16022coll205,,Louisiana,United States,North America,,"W0910542 W0910139 N0392734 N0392448|(W 91°05'42""--W 91°01'39""/N 39°27'34""--N 39°24'48"")."
British India : southern part,British India : southern part,,"Imprint derived from the atlas in which the map was issued.; Neele sculpt.; Numbered No. 42.; Shows boundaries, rivers and principal settlements; colouring shows possession.; Relief shown by hachures and shading.; Greenwich meridian.",51 x 60 Centimeters,"Scale approximately 1:3,000,000",English,,Drawn & engraved for Thomson's New general Atlas (Edinburgh),,,1816,,,https://umedia.lib.umn.edu/item/p16022coll230:4212,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4212/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4212,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4212/manifest.json,U|M|N|_|A|L|M|A|:|9|9|7|6|5|6|1|8|0|8|3|0|1|7|0|1,p16022coll230:4212,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,,India,Asia,,E0710000 E0880100 N0200000 N0070000|(E 71°--E 88°/N 20°--N 7°).
California,California,,Relief shown by hachures.; Inset: City of San Francisco.; In upper right corner: No. 52.; Entered according to Act of Congress in the year 1855 by J.H. Colton.,on sheet 58 x 45 Centimeters,"Scale approximately 1:2,700,000",English,"Colton, J. H. (Joseph Hutchins), 1800-1893",J.H. Colton (New York),,,1855,,,https://umedia.lib.umn.edu/item/p16022coll230:4230,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/4230/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4230,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4230/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|2|8|1|2|9|3|0|0|0|1|7|0|1,p16022coll230:4230,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2022-05-03T00:00:00Z,General Map Collection,p16022coll230,,California,United States,North America,,W1242500 W1140700 N0420000 N0323200|(W 124°25ʹ--W 114°07ʹ/N 42°00ʹ--N 32°32ʹ).
