Title,Alternative Title,Description,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
,A correct map of Virginia,,English,"Carey, Mathew, 1760-1839",Mathew Carey (Philadelphia),,,1814,,,Virginia,"-83.75,36.25,-75.0,40.75",https://umedia.lib.umn.edu/item/p16022coll230:1545,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1545/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1545,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1545/manifest.json,UMN_ALMA:9974841585501701,p16022coll230:1545,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,A General map of the new settlement called Transilvania,,English,,,,Early Maps,1776,,,Kentucky,"-91.8333,32.8333,-74.8333,39.8333",https://umedia.lib.umn.edu/item/p16022coll230:1528,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1528/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1528,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1528/manifest.json,UMN_ALMA:9916474800001701,p16022coll230:1528,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,A new discription [sic] of Carolina,,English,"Moxon, J. (James)",J. Bien & Co. Photo Lith (New York?),,Early Maps,1887,,,United States,"-85.95,23.8667,-72.7,41.6",https://umedia.lib.umn.edu/item/p16022coll230:1552,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1552/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1552,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1552/manifest.json,UMN_ALMA:9928729940001701,p16022coll230:1552,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,A new map of Kentucky : with its roads & distances from place to place along the stage & steamboat routes,,English,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",Published by S. Augustus Mitchell (Philada),,,1846,,,Kentucky,"-89.5667,36.4833,-81.95,39.1333",https://umedia.lib.umn.edu/item/p16022coll230:1572,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1572/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1572,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1572/manifest.json,UMN_ALMA:9916464750001701,p16022coll230:1572,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"A plan of the boundary lines between the Province of Maryland and the three lower counties on Delaware, with part of the parallel of latitude which is the boundary between the provinces of Maryland and Pennsylvania",,English,"Mason, Charles, 1728-1786","Maryland Historical Society (Baltimore,  Md)",,Early Maps,1900?,,,Maryland; Delaware,"-76.0667,38.3,-74.9667,39.7833",https://umedia.lib.umn.edu/item/p16022coll230:1458,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1458/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1458,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1458/manifest.json,UMN_ALMA:9975588508601701,p16022coll230:1458,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,A provisional geologic and topographic map of Mississippi,,English,"Mississippi Geological, Economic, and Topographical Survey",The Survey (Jackson),,Geology,1907?,,,Mississippi,"-91.65,30.1333,-88.0833,34.9833",https://umedia.lib.umn.edu/item/p16022coll230:1557,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1557/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1557,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1557/manifest.json,UMN_ALMA:9917953420001701,p16022coll230:1557,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Colton's Florida,,English,G.W. & C.B. Colton & Co,G.W. & C.B. Colton & Co (New York),,,1868,,,Florida,"-87.5833,26.75,-80.1667,31.0",https://umedia.lib.umn.edu/item/p16022coll230:1455,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1455/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1455,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1455/manifest.json,UMN_ALMA:9950862380001701,p16022coll230:1455,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Eastern Virginia and part of Maryland,"Subject: Map of eastern Virginia and Maryland, showing the roads, railroads and towns. Dimensions: 58 x 51 centimeters, on sheet 73 x 59 centimeters",English,,"Published by Scho?nberg & Co.,  New York (New York)",,American Civil War (1861 1865),1861,,,Maryland; Virginia,"-79.45,36.3833,-75.6333,39.7333",https://umedia.lib.umn.edu/item/p16022coll230:1564,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1564/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1564,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1564/manifest.json,UMN_ALMA:9974061809501701,p16022coll230:1564,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Federal aid highway system progress map : [Alabama],,English,United States. Bureau of Public Roads,"(Washington,  D.C., )",,Roads,1927,,,Alabama,"-880.5,300.25,-840.8667,350.0",https://umedia.lib.umn.edu/item/p16022coll230:1534,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1534/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1534,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1534/manifest.json,UMN_ALMA:9917644060001701,p16022coll230:1534,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Generalized soil map of Florida,,English,"Harper, Roland M. (Roland McMillan), 1878-1966",Florida Geological Survey (Florida),,Soils,1925,,,Florida,"-87.0,25.0,-80.0,31.0",https://umedia.lib.umn.edu/item/p16022coll230:1573,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1573/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1573,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1573/manifest.json,UMN_ALMA:9916631190001701,p16022coll230:1573,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Geologic map of Alabama,,English,Geological Survey of Alabama,"(University], )",,Geology,1926,,,Alabama,"-88.5,30.25,-84.8667,35.0",https://umedia.lib.umn.edu/item/p16022coll230:1623,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1623/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1623,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1623/manifest.json,UMN_ALMA:9962563090001701,p16022coll230:1623,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Geologic map of Alabama,,English,Geological Survey of Alabama,"(University], )",,Geology,1926,,,Alabama,"-88.5,30.25,-84.8667,35.0",https://umedia.lib.umn.edu/item/p16022coll230:1506,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1506/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1506,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1506/manifest.json,UMN_ALMA:9962563090001701,p16022coll230:1506,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Geologic map of Kentucky : showing oil and gas pools and pipelines and the eastern and western coalfields,,English,"Jillson, Willard Rouse, 1890-1975","The Survey (Frankfort,  Ky)",,Geology|Petroleum|Natural Gas|Coal,1920,,,Kentucky,"-89.5,36.0,-82.0,39.1667",https://umedia.lib.umn.edu/item/p16022coll230:1530,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1530/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1530,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1530/manifest.json,UMN_ALMA:9954917570001701,p16022coll230:1530,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Geologic map of Tennessee,,English,Tennessee. State Geological Survey,The Survey (Nashvillé),,Geology,1915,,,Tennessee,"-90.25,35.0,-81.75,36.75",https://umedia.lib.umn.edu/item/p16022coll230:1632,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1632/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1632,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1632/manifest.json,UMN_ALMA:9955175560001701,p16022coll230:1632,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Geologic map of Tennessee,,English,Tennessee. State Geological Survey,The Survey (Nashvillé),,Geology,1915,,,Tennessee,"-90.25,35.0,-81.75,36.75",https://umedia.lib.umn.edu/item/p16022coll230:1518,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1518/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1518,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1518/manifest.json,UMN_ALMA:9955175560001701,p16022coll230:1518,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,"Georgia, early roads and trails, circa 1730-1850",,English,"Hemperly, Marion R","Georgia Dept. of Transportation (Atlanta,  Ga)",,Roads|Trails,1900 - 1999?,,,Georgia,"-85.0,31.0,-81.0,35.0",https://umedia.lib.umn.edu/item/p16022coll230:1535,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1535/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1535,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1535/manifest.json,UMN_ALMA:9947200130001701,p16022coll230:1535,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Hall's original county map of Georgia : showing present and original counties and land districts,,English,"Hall Brothers (Atlanta, Ga.)",Hall Bros (Atlanta),,,1895,,,Georgia,"-85.6167,30.35,-80.7333,35.0",https://umedia.lib.umn.edu/item/p16022coll230:1560,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1560/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1560,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1560/manifest.json,UMN_ALMA:9948913810001701,p16022coll230:1560,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Hampton Roads port area,,English,C.S. Hammond & Company,C.S. Hammond and Co (New York),,Shipping,1927,,,Virginia,"-76.5833,36.6667,-75.9167,37.0",https://umedia.lib.umn.edu/item/p16022coll230:1544,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1544/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1544,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1544/manifest.json,UMN_ALMA:9974836501501701,p16022coll230:1544,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
,Map of Allegany County showing the topography and election districts,"Shows the topography and election districts of Allegany County, Maryland. Waterways and man-made features such as roads, railroads, bridges, and buildings are indicated. Dimensions: 61 x 126 centimeters",English,Maryland Geological Survey,Maryland Geological Survey (Baltimoré),,Election Districts,1924,,,Maryland,"-79.0833,39.4167,-78.25,39.6667",https://umedia.lib.umn.edu/item/p16022coll230:1449,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/1449/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/1449,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/1449/manifest.json,UMN_ALMA:9974084186401701,p16022coll230:1449,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-08-24,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
