identifier,resourceName,landingPage
,env-assessed-proposed-water-2018,https://gisdata.mn.gov/api/3/action/package_show?id=env-assessed-proposed-water-2018
,us-mn-state-metrogis-trans-ncompass-roads-landmarks,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metrogis-trans-ncompass-roads-landmarks
,env-impaired-proposed-water-2016,https://gisdata.mn.gov/api/3/action/package_show?id=env-impaired-proposed-water-2016
,env-impaired-proposed-water-2018,https://gisdata.mn.gov/api/3/action/package_show?id=env-impaired-proposed-water-2018
,us-mn-state-metc-trans-transit-centers,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-trans-transit-centers
,us-mn-state-metrogis-loc-addresspoint-validation,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metrogis-loc-addresspoint-validation
,us-mn-state-metc-trans-park-and-ride-lots,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-trans-park-and-ride-lots
,us-mn-state-metrogis-plan-regonal-prcls-open,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metrogis-plan-regonal-prcls-open
,us-mn-state-metc-plan-tod-transitway-pub-prcls,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-plan-tod-transitway-pub-prcls
,us-mn-state-metc-util-sewer-interceptors-abnd,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-util-sewer-interceptors-abnd
,us-mn-co-lake-plan-ownership-parcels,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-co-lake-plan-ownership-parcels
,us-mn-state-metc-water-mces-indus-dischrg-permits,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-water-mces-indus-dischrg-permits
,us-mn-state-metc-plan-ada-service-provider-areas,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-plan-ada-service-provider-areas
,env-mn-ruffed-grouse,https://gisdata.mn.gov/api/3/action/package_show?id=env-mn-ruffed-grouse
,us-mn-state-metrogis-trans-mrcc-centerlines,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metrogis-trans-mrcc-centerlines
,us-mn-state-metc-trans-pool-parking-locations,https://gisdata.mn.gov/api/3/action/package_show?id=us-mn-state-metc-trans-pool-parking-locations
,env-assessed-proposed-water-2016,https://gisdata.mn.gov/api/3/action/package_show?id=env-assessed-proposed-water-2016
