Title,Alternative Title,Description,Language,Creator,Publisher,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,HTML,Image,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,DNR Hydrography - Groundwater Dominated Lakes,"The Groundwater Dominated Lakes feature class is derived from the DNR Lakes and Open Water and DNR Level 09 Autocatchment datasets. It represents lakes that have watershed area to lake area ratios of 10 or less and are larger than 10 acres. Lakes larger than 100,000 acres are excluded because they may behave differently from smaller lakes . Because of their relatively small watersheds, these lakes are likely to have a significant groundwater component relative to surface water. The watershed to lake area ratio is a screening tool that indicates the relative importance of groundwater flow to the water balance of a lake. However, the ultimate determination of whether a particular lake is dominated by groundwater flow requires more site specific information.A best first characterization of lakes into groundwater dominated or surface water dominated can be made by watershed area to lake area ratio. Lakes with a ratio of greater than 10 are likely surface water dominated. Lakes with a ratio of between 5 and 10 may be groundwater dominated, especially if the sediment around the lake is predominantly sandy. Lakes with a watershed to lake area of less than 5 are very likely groundwater dominated, either through relatively large groundwater inflow, outflow, or both. But if the sediment surrounding the lake is clayey there may be little interaction between the lake water and groundwater.",eng,Minnesota Department of Natural Resources (DNR) - Division of Fish & Wildlife - Fisheries Unit,State of Minnesota,Datasets,Environment,catchment|groundwater|hydrography|watershed,2022-01-12T09:03:17.052584,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/env-groundwater-dominated-lakes,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/env_groundwater_dominated_lakes/shp_env_groundwater_dominated_lakes.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/env_groundwater_dominated_lakes/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/env_groundwater_dominated_lakes/metadata/preview.jpg,27d70f2d-a76e-4e01-b8e5-681811dfedd7,env-groundwater-dominated-lakes,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,"Grant-In-Aid Snowmobile Trails, Aitkin County Land Department, Minnesota",This data set features lines representing Aitkin County Land Department's Grant-in-Aid snowmobile trails captured using sub-meter differential GPS.,eng,Aitkin County GIS,Aitkin County,Datasets,Transportation,grant-in-aid|recreation|snowmobile trails|trails|transportation,2022-02-17T09:03:08.713608,Continually updated resource,,"Aitkin County, Minnesota|Minnesota","-93.810,46.150,-93.050,47.160",Vector data,Shapefile,https://gisdata.mn.gov/dataset/us-mn-co-aitkin-trans-snowmobile-grantaid,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_snowmobile_grantaid/shp_trans_snowmobile_grantaid.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_snowmobile_grantaid/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_snowmobile_grantaid/metadata/preview.jpg,77bae34d-9e6e-47e7-b682-2f33260e4354,us-mn-co-aitkin-trans-snowmobile-grantaid,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,LCA Project Profiles by Census Tract,"This dataset provides equity and housing related characteristics for each census tract in the Anoka, Carver, Dakota, Hennepin, Ramsey, Scott and Washington counties by 2010 census tract. This dataset is derived from the Equity Considerations for Place-Based Advocacy and Decisions in the Twin Cities Region dataset as published on March 5th, 2021. This dataset has expanded the Equity Considerations for Place-Based Advocacy and Decisions in the Twin Cities Region by providing the same datapoints at city and regional level for each census tract contained in the layer, as well as adding in relative affordable housing data points corresponding to that census tract. This dataset is only meant to be used in the LCA Project Data Profiles web application in order to better inform Livable Communities Act (LCA) applicants.",eng,Metropolitan Council,State of Minnesota,Datasets,Planning and Cadastre,lca,2022-03-10T09:03:02.983870,Continually updated resource,,Minnesota,"-94.012,44.471,-92.732,45.415",Vector data,Shapefile,https://gisdata.mn.gov/dataset/us-mn-state-metc-plan-lca-project-profiles,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/plan_lca_project_profiles/shp_plan_lca_project_profiles.zip,,https://arcgis.metc.state.mn.us/server/rest/services/GISLibrary/LCAProjectProfiles/FeatureServer,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/plan_lca_project_profiles/metadata/metadata.html,,98df77fa-6325-4bfe-ace4-615cb2125293,us-mn-state-metc-plan-lca-project-profiles,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,Fall Nitrogen Fertilizer Application Restrictions,"This Vulnerable Groundwater Areas Feature Class illustrates quarter sections that meet at least one of 3 conditions across the state. The first condition includes soil mapping units (SSURGO) where the USDA Natural Resource Conservation Service (NRCS) has determined where coarse textured soils exist. ""Coarse textured soils"" means soils that are sand, loamy sand, fine sand, loamy fine sand, coarse sand, loamy coarse sand, very fine sand, loamy very fine sand, single grained, or any of these textures with the following textural modifiers: gravelly, cobbly, channery, and flaggy based on the United States Department of Agriculture, Natural Resources Conservation Service, Web Soil Survey. The second and third conditions are whether Karst (Minnesota Department of Natural Resources [DNR]) is present or shallow bedrock (NRCS) is located near the land surface. Additionally, areas were removed if they fell into the ""Very Low"" sensitivity rating from the DNR sensitivity map.There are three excluded areas: 1.) If an area is in a county with less than 3% cropland - (USDA, NASS Census of Agriculture 2012)or 2. If an area is within the climate exclusion area (NASA and Spring Frost free dates: MN Climate Office/NOAA) The climate exclusion is based on boundaries (unless otherwise stated) comprising at least 50% of the leaching index area and spring frost free dates contiguous isolines (i.e. bullseyes not included) based on the Leaching Index (LI) and the Spring Frost Free Dates(SFFD) criteria below. - If the SFFD is on or after May 22 and the Ll is less than or equal to -12 and - If the SFFD is on or after May 29 and the Ll is less than or equal to -10 and - If the SFFD is on or after June 5 and the Ll is less than or equal to -6 and - For Clearwater County the area north of Highway 2 will be excluded from areas considered vulnerable and - For Wilkin County, the area north of Highway 210 will be excluded from areas considered vulnerable.Additionally, Fall Nitrogen Fertilizer Application will be restricted in Drinking Water Management Areas (DWSMAs) that have nitrate concentrations at or greater than 5.4 mg/L provided by the Minnesota Department of Health (MDH). These restrictions apply specifically in the areas of the DWSMA that are rated moderate, high and very high vulnerability. The restrictions do not apply to areas rated low and very low vulnerability in the DWSMA and have been removed from the DWSMA area in this package. Approximately 603 acres have also been removed from the Verdi DWSMA since it was outside of the Minnesota State boundary. ",eng,Minnesota Department of Agriculture,State of Minnesota,Datasets,Environment,groundwater|vulnerable groundwater,2022-01-20T09:02:54.610601,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/water-fall-fert-restriction-2022,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mda/water_fall_fert_restriction_2022/shp_water_fall_fert_restriction_2022.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mda/water_fall_fert_restriction_2022/metadata/metadata.html,,e0f7cef4-87cf-4c00-8667-be3cedf931cf,water-fall-fert-restriction-2022,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,Metro Regional Parcel Dataset - (Year End 2021),"This dataset includes all 7 metro counties that have made their parcel data freely available without a license or fees. This dataset is a compilation of tax parcel polygon and point layers assembled into a common coordinate system from Twin Cities, Minnesota metropolitan area counties. No attempt has been made to edgematch or rubbersheet between counties. A standard set of attribute fields is included for each county. The attributes are the same for the polygon and points layers. Not all attributes are populated for all counties. NOTICE: The standard set of attributes changed to the MN Parcel Data Transfer Standard on 1/1/2019.https://www.mngeo.state.mn.us/committee/standards/parcel_attrib/parcel_attrib.htmlSee section 5 of the metadata for an attribute summary.Detailed information about the attributes can be found in the Metro Regional Parcel Attributes document.The polygon layer contains one record for each real estate/tax parcel polygon within each county's parcel dataset. Some counties have polygons for each individual condominium, and others do not. (See Completeness in Section 2 of the metadata for more information.) The points layer includes the same attribute fields as the polygon dataset. The points are intended to provide information in situations where multiple tax parcels are represented by a single polygon. One primary example of this is the condominium, though some counties stacked polygons for condos. Condominiums, by definition, are legally owned as individual, taxed real estate units. Records for condominiums may not show up in the polygon dataset. The points for the point dataset often will be randomly placed or stacked within the parcel polygon with which they are associated. The polygon layer is broken into individual county shape files. The points layer is provided as both individual county files and as one file for the entire metro area.In many places a one-to-one relationship does not exist between these parcel polygons or points and the actual buildings or occupancy units that lie within them. There may be many buildings on one parcel and there may be many occupancy units (e.g. apartments, stores or offices) within each building. Additionally, no information exists within this dataset about residents of parcels. Parcel owner and taxpayer information exists for many, but not all counties.This is a MetroGIS Regionally Endorsed dataset. Additional information may be available from each county at the links listed below. Also, any questions or comments about suspected errors or omissions in this dataset can be addressed to the contact person at each individual county. Anoka = http://www.anokacounty.us/315/GISCaver = http://www.co.carver.mn.us/GISDakota = http://www.co.dakota.mn.us/homeproperty/propertymaps/pages/default.aspxHennepin = https://gis-hennepin.hub.arcgis.com/pages/open-dataRamsey = https://www.ramseycounty.us/your-government/open-government/research-dataScott = http://opendata.gis.co.scott.mn.us/ Washington: http://www.co.washington.mn.us/index.aspx?NID=1606",eng,"Counties of Anoka, Carver, Dakota, Hennepin, Ramsey, Scott and Washington",State of Minnesota,Datasets,Planning and Cadastre,cadastre|land ownership|parcels|regional parcel data,2022-01-19T09:03:07.574742,Continually updated resource,,Minnesota,"-94.012,44.471,-92.732,45.415",Vector data,Shapefile,https://gisdata.mn.gov/dataset/us-mn-state-metrogis-plan-regonal-parcels-2021,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metrogis/plan_regonal_parcels_2021/shp_plan_regonal_parcels_2021.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metrogis/plan_regonal_parcels_2021/metadata/metadata.html,,e55d5b57-63fa-426b-be0a-4fa8fe6f44bb,us-mn-state-metrogis-plan-regonal-parcels-2021,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,Sealed Wells,"The Well Management database was queried and data extracted on December 31, 2012. Data was processed from 10 tables and reconstructed to create a file geodatabase with only the actual well sealing records. Geocoding was accomplished in a phased approach. 1. Match to a County Well Index located well. 2. Match to an inventoried PCSI location 3. Match to a physical address with zipcode using a composite address locator. 4. Match to Public Land Survey System (PLSS) coordinates. Townhip, Range, Section and subsection. Finally a shapefile was generated for general distribution. About 2,000 records did not have any location information and are not included in the data distribution.",eng,	Minnesota Department Of Health - Environmental Health Division - Source Water Protection Unit,State of Minnesota,Datasets,Geoscientific,environment|health|location,2022-02-16T09:03:04.984992,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/geos-sealed-wells,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/geos_sealed_wells/shp_geos_sealed_wells.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/geos_sealed_wells/metadata/metadata.html,,3223ec8e-707f-44e3-9f38-2f350f782be4,geos-sealed-wells,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,"Aitkin County Land Dept. Forest Roads, Aitkin County",This data set features lines representing Aitkin County Land Department's maintained and numbered forest roads.,eng,Aitkin County GIS,Aitkin County,Datasets,Transportation,forest road inventory|forest roads|trails,2022-03-09T09:03:05.786332,Continually updated resource,,"Aitkin County, Minnesota|Minnesota","-93.810,46.150,-93.050,47.160",Vector data,Shapefile,https://gisdata.mn.gov/dataset/us-mn-co-aitkin-trans-forest-roads,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_forest_roads/shp_trans_forest_roads.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_forest_roads/metadata/metadata.html,,d622db1a-477c-4837-b366-38c00a0862f9,us-mn-co-aitkin-trans-forest-roads,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,Watershed Health Assessmnet Framework Layers (WHAF),"The Watershed Health Assessment Framework (WHAF) provides an organized approach for understanding natural resource conditions and challenges, and for identifying opportunities to improve the health and resilience of Minnesota's watersheds.Metadata for the individual layers can be found at the following links:CWI Max Arsenic (ug/L) : CWI Max Arsenic.htmlCWI Max Nitrate (mg/L): CWI Max Nitrate.htmlSpecial Well and Boring Construction Areas : Special Well and Boring Construction Areas.htmlDrinking Water Wells per Section : Drinking Water Wells per Section.htmlGeologic Sensitivity at Wells: Geologic Sensitivity at Wells.htmlMDA Groundwater Protection Rule DWSMAs: MDA Groundwater Protection Rule DWSMAs.htmlPrimary Aquifers by Section: Primary Aquifers by Section.htmlTownship Testing Nitrate Results: Township Testing Nitrate Results.html",eng,Minnesota Department Of Health - Environmental Health Division - Source Water Protection Unit,State of Minnesota,Datasets,Environment,,2022-01-25T09:03:15.515372,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/water-graps-whaf,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_graps_whaf/shp_water_graps_whaf.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_graps_whaf/metadata/metadata.html,,8d56753c-9eda-4899-a96d-8de513fd27b7,water-graps-whaf,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,"Grant-In-Aid ATV Trails, Aitkin County Land Department, Minnesota",This data set features lines representing Aitkin County Land Department's Grant-in-Aid ATV trails.,eng,Aitkin County GIS,Aitkin County,Datasets,Transportation,atv|recreation|trails|transportation,2022-02-16T09:03:07.036238,Continually updated resource,,"Aitkin County, Minnesota|Minnesota","-93.810,46.150,-93.050,47.160",Vector data,Shapefile,https://gisdata.mn.gov/dataset/us-mn-co-aitkin-trans-atv-grantaid,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_atv_grantaid/shp_trans_atv_grantaid.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_atv_grantaid/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_aitkin/trans_atv_grantaid/metadata/preview.jpg,794c2d36-09e3-4bb5-9e19-679228f77cb4,us-mn-co-aitkin-trans-atv-grantaid,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
,"Parcels, Compiled from Open Data Counties, Minnesota","This dataset is a compilation of county parcel data from Minnesota counties that have opted-in for their parcel data to be included in this dataset.It includes the following 29 counties that have opted-in as of the publication date of this dataset: Aitkin, Anoka, Benton, Carlton, Carver, Chisago, Clay, Cook, Crow Wing, Dakota, Douglas, Hennepin, Isanti, Itasca, Koochiching, Marshall, Mower, Norman, Polk, Ramsey, Rice, Saint Louis, Scott, Sherburne, Stearns, Traverse, Waseca, Washington, and Wilkin. If you represent a county not included in this dataset and would like to opt-in, please contact Ryan Stovern (stovernr@stlouiscountymn.gov), co-chair of the Minnesota Geospatial Advisory Council (GAC)'s Parcels and Land Records Committee's Open Data Subcommittee. County parcel data does not need to be in the GAC parcel data standard to be included. MnGeo will map the county fields to the GAC standard.County parcel data records have been assembled into a single dataset with a common coordinate system (UTM Zone 15) and common attribute schema. The county parcel data attributes have been mapped to the GAC's parcel data standard for Minnesota: https://www.mngeo.state.mn.us/committee/standards/parcel_attrib/parcel_attrib.htmlThis compiled parcel dataset was created using Python code developed by Minnesota state agency GIS professionals, and represents a best effort to map individual county source file attributes into the common attribute schema of the GAC parcel data standard. The attributes from counties are mapped to the most appropriate destination column. In some cases, the county source files included attributes that were not mapped to the GAC standard. Additionally, some county attribute fields were parsed and mapped to multiple GAC standard fields, such as a single line address. Each quarter, MnGeo provides a text file to counties that shows how county fields are mapped to the GAC standard. Additionally, this text file shows the fields that are not mapped to the standard and those that are parsed. If a county shares changes to how their data should be mapped, MnGeo updates the compilation. If you represent a county and would like to update how MnGeo is mapping your county attribute fields to this compiled dataset, please contact us.This dataset is a snapshot of parcel data, and the source date of the county data may vary. Users should consult County websites to see the most up-to-date and complete parcel data.",eng,Minnesota Geospatial Information Office (MnGeo),State of Minnesota,Datasets,Planning and Cadastre,land ownership|land records|parcels|property|tax parcels,2022-02-25T09:02:58.915219,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/plan-parcels-open,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mngeo/plan_parcels_open/shp_plan_parcels_open.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mngeo/plan_parcels_open/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mngeo/plan_parcels_open/metadata/preview.jpg,4ae57828-a1d8-40e6-b46d-3ba9d0270e07,plan-parcels-open,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,2022-03-13,,Public,FALSE,FALSE
