ID,bbox
30997baf-cf33-4788-858b-17adbd746a52,"-88.64106459,45.98485537,-88.6349982,45.98569087"
9e95e6be-f6ac-488b-b691-7d64dd356fae,"-85.69159652,46.67898691,-85.64173758,46.68067173"
b485e47e-25f7-487c-9456-dfe75752b7cc,"-83.0599,42.36,-83.06,42.3601"
p16022coll246:150,"-179.5,-90,179.5,90"
p16022coll230:4264,"74.91666667,8.033333333,160.2166667,12.5"
p16022coll230:4255,"73.4,13.36666667,162.1833333,17.08333333"
p16022coll230:897,"-180,-85,180,84.9833"
p16022coll230:656,"-180,-85,180,84.9833"
p16022coll246:348,"19.98,-47.21,-179.81,34.38"
p16022coll230:325,"-179.5,-90,179.5,90"
de8488f2-478e-40a9-854a-0393725fa5ab,"9.1333,-60.2333,-27.0667,78.2"
92200365-e1d1-4db5-9e0e-0b99bf75e34b,"-83.7499,42.29,-83.74,42.2901"
p16022coll230:2756,"144.4,-14.75,-64.35,71.6"
fdc51c67-93f3-4682-aac9-fb21a76e6600,"-180,-85,180,85"
48f0ad61-007c-493b-a641-98b68071856c,"3.75,42.75,5.75,45"
p16022coll246:224,"25,-12.93,-168.35,81.66"
p16022coll230:881,"-113.5667,6.4333,-112.6667,78.5833"
p16022coll230:537,"170,10,-10,80"
p16022coll205:486,"-71.97391,41.9483,-71.9739,41.94831"
72a691b8-689a-4997-8786-8cafca71142b,"73.3316,16.5598,73.3343,16.5625"
p16022coll205:588,"-80.08331,42.1167,-80.0833,42.11671"
p16022coll205:511,"-79.81671,41.4,-79.8167,41.41"
p16022coll205:569,"-79.151,41.8667,-79.15,41.86671"
97f8a640-82d4-0134-1f08-0050569601ca-2,"-180,-90,180,90"
a197b2a0-994e-0134-2096-0050569601ca-5,"-180,-90,180,90"
p16022coll246:321,"25,-20,-169.31,79.98"
p16022coll230:4241,"27.5,-26.5,56,-26"
p16022coll230:4246,"27,-26.5,54.5,-26"
201ca22f-1eb4-4a78-a9bf-b143146f1369,"172.43,-58.48,-8.929,83.82"
b7c7292c-9386-4101-b1b7-d31ca9473cdf,"136.8,-59.27,-26.879,46.87"
p16022coll230:1287,"144.4,-14.75,-64.35,71.6"
ANT-SUM-OP3801-001,"41,-38,145,-37.9"
ANT-REF-MP2015-001,"42,-55,-128,-54.9"
b2afdb03-5102-4f78-bf42-6a552d6db716," -4.77,43.03,8.21,50.92"
p16022coll246:125,"25,-12.93,-168.35,81.66"
p16022coll246:179,"11.0742,-16.8887,-159.4336,81.5442"
p16022coll246:223,"25,-12.93,-168.35,81.66"
p16022coll230:3587,"32.8833,-11.9833,-167.7667,78.4833"
p16022coll246:177,"35.332,-6.1406,-170.8594,81.1745"
p16022coll229:2295,"19.08,59.45,31.59,70.09"
p16022coll229:423,"-180,-90,180,90"
p16022coll229:460,"-180,-90,180,90"
p16022coll229:276,"-180,-90,180,90"
p16022coll229:302,"-180,-90,180,90"
p16022coll205:247,"149.561,33.41,149.56,33.411"
b65f2cfa-bb36-4000-abc1-9b4707180c82,"-79.9699,32.8,-79.97,32.8001"
58acc3a8-a0b4-4dbc-8682-589a832aa466,"-86.4499,43.95,-86.45,43.9501"
83bc9f5a-f215-458d-b19b-bfe6a2ec98b6,"-76.9299,38.19,-76.93,38.1901"
p16022coll230:2334,"-115.62,44.09416667,-115.6172222,44.09694444"
02a14989-f313-4b3d-8ced-ba74c9bf545b,"3.25099926441,46.5371557989,3.2509992644,46.53715579891"
d5221d78-e27c-4344-80f8-06ae77eca3cf,"-180,-80,180,83.93"
506b2c60-f32a-476b-9261-3bd13544e8b2,"167.88,37.65,-12.619,80"
4f0b7393-6b8c-4fd4-ae52-75014f79a270,"-135.57,34.88,135.67,34.98"
p16022coll230:876,"-179.9,-85.0,180.0,85.0"
p16022coll230:4272,"99.73333333,-55.31666667,-66.35,23.55"
p16022coll246:185,"25,-12.93,-168.35,81.66"
p16022coll230:475,"-61.011,14.63,-61.01,14.631"
p16022coll230:3692,"19.4,-4.4667,-164.3667,82.05"
8233ab1d-243f-4b51-a3ea-9ea1825196cf,"143.7833,-13.75,-160.65,3.6833"
p16022coll230:3762,"179.8,0.75,-42.35,75.85"
46dd5206-de93-4581-92d9-14a5925b91d3,"4.041119,49.324898,4.098831,49.383787"
p16022coll230:567,"150,40,-6,83"
p16022coll230:478,"130,30.35,-10,85"
p16022coll230:3757,"29.01,26.0,29.0,27.0"
6ef3aef4-06a4-4ef4-a024-7ff608e9db1e,"134.4,-57.8,-60.4,29.7"
f3709207-62fe-4508-8036-17812b57764a,"116.6,-58.2,-63.5,41.3"
p16022coll230:2305,"-114.9002778,44.49861111,-114.8975,44.50138889"
4c1e59d2-9ac4-4534-b800-4624cc4f5d67,"152.27,49.75,-137.319,72.55"
p16022coll230:4079,"-180,-85,180,84.98333333"
p16022coll230:636,"-180,-85,180,84.9833"
p16022coll230:573,"100.1,-69,100,80"
p16022coll230:770,"144.4,-14.75,-64.35,71.6"
989c718f-f085-48bd-8fcb-ea94c3e520ae,"-87.8299,41.88,-87.83,41.8801"
c43b3e4f-a2d4-4aec-90b1-3cbedd6772d4,"-87.8299,41.88,-87.83,41.8801"
cf0aad24-c644-4334-bbfa-e8797a35438d,"-87.8299,41.88,-87.83,41.8801"
c0b81609-f233-4004-a5de-6e86ebdace1e,"-83.7499,42.28,-83.75,42.2801"
fb5f7239-e47d-496c-812a-0ba41a1600f4,"-83.6199,42.23,-83.62,42.2301"
ANT-REF-GT2501-001,"0,-78,-130,0"
ANT-REF-GT2501-004,"0,-84,-90,0"
p16022coll230:4057,"-180,-85,180,85"
p16022coll230:4186,"32.26666667,34.61666667,68.6,35.7"
p16022coll245:1060,"-93.26361,44.98,-93.2636,44.981"
368d4a86-dc77-44ee-b0e4-4e45d66a58e1,"122.71,20.21,154.21,45.71"
UNL~30~30~232~14331,"-180,-90,180,90"
5fcb3f01-2d9b-40ea-9306-fdf9e1953f4c,"-172.08,49.45,-172.00,81.25"
3930cda7-5749-4266-ba3f-df84e494116a,"6.51269316671,43.8471693132,6.5126931667,43.84716931321"
p16022coll230:741,"-95.20171,47.1975,-95.2017,47.19751"
7d2906c2-4825-4ada-81e7-28ae4046554f,"-180,-90,180,90"
p16022coll230:1004,"-179.9,-85.0,180.0,85.0"
e5939a35-6819-4b57-a72a-8d126f7a6d87,"2.7917,47.5628,6.4392,50.0935"
c30393ba-a2de-4deb-9371-3bdb04413a89,"13.75,51.05,13.7499,51.06"
pstems_0052767067_dubois_03_lk,"-80.5211,39.7198,-74.6897,42.5147"
db6670e0-477a-4a6a-9243-f7c95f6b127c,"-87.6058,41.7797,-87.5861,41.7808"
p16022coll230:3666,"90.0,46.0,-150.0,71.0"
05d-p16022coll289,"-180,-90,180,90"
54d83a56-4c40-411e-bf44-fd84781223f0,"-87.8299,41.88,-87.83,41.8801"
p16022coll230:3699,"16.3667,-9.7167,-169.15,81.2167"
p16022coll246:450,"78.61194444,23.72388889,156.7861111,23.81638889"
p16022coll230:1262,"144.4,-14.75,-64.35,71.6"
6daaafcc-dca3-4e1d-b1e3-bda4c6ffffd8,"-76.6299,39.3,-76.63,39.3001"
f2869e6c-68bc-4554-89e9-fbe774a6ab3f,"-79.8756,32.7514,-79.8739,32.7533"
04351e47-6b75-4bd5-92e9-4a1ce5c31702,"132.83,36.33,136.92,36.58"
ark-85335-m59p2xj2p,"-85.473604,45.777728,-85.473393,45.778969"
6f8e6aa6-36b4-4a7a-82b7-e1f82da4853c,"1.8577,45.215,4.066,46.4701"
t137r49w5fi01,"-96.8014301,46.66697025,-96.80024567,46.66843954"
t032r27w4fi01,"-93.75778965,45.29576516,-93.63404207,45.30023316"
t122r48w5fi01,"-96.66777846,45.41158437,-96.61611572,45.41404478"
t133r48w5fi01,"-96.65617856,46.36590503,-96.65444665,46.36961858"
t138r49w5fi01,"-96.8016382,46.79632889,-96.7993146,46.79822399"
t161r30w5fi01,"-94.5597034,48.71427979,-94.55390801,48.71466728"
BHCJ2M66OKE2Z8Z,"-87.8747,45.3662,-87.8698,45.3666"
JSQNB3KTYBTLP8B,"-87.8747,45.3662,-87.8698,45.3666"
SOW6SDHGPMM2S8B,"-87.8143,45.7102,-87.8092,45.7119"
p16022coll230:3505,"-180,-90,180,90"
p16022coll229:877,"-179.9,-85.0,180.0,85.0"
VAC3073-M-00678,"-87.6001,38.61,-85.3301,38.73"
p16022coll230:715,"-95.5833,49.2,-84,49.8667"
a0fedd25-debf-4552-9d80-af4717db7c59,"-95.58,49.2,-84,49.87"
45d6d2b1-3e4d-476f-875e-40788bfe4449,"86.254797,43.053047,-86.196947,43.075496"
UNL~30~30~128~14339,"-180,-90,180,90"
p16022coll205:366,"-92.851,44.7301,-92.85,44.73011"
542c17e7-1575-4240-8765-d808310bdb88,"134.67,33.42,-136.669,35.75"
UNL~30~30~156~14486,"-180,-90,180,90"
fd61fd87-7c0c-40fb-b0df-ddf4def34b4d,"-180,-90,180,90"
p16022coll230:4125,"60,32,128,36"
p16022coll230:4138,"64,28,136,32"
p16022coll230:3600,"68.1,-20.3833,-140.9833,63.0667"
VAC9619-000854,"-180,-90,180,90"
VAC9619-000899,"-180,-90,180,90"
67952e6c-0569-4791-b0e9-b115808a1f7d,"-179.9,-85.0,180.0,85.0"
b5fa675c-de9f-44e5-8dc7-fdd28ed0605a,"139.066,35.4745,139.4585,35.6729"
p16022coll230:4273,"-180,-90,180,90"
p16022coll205:1142,"79.82222222,6.8625,158.89,6.981111111"
7d6bfdf7-6851-4c99-83d9-f00d24ee7616,"139.066,35.4745,139.4585,35.6729"
5dc44634-2427-41f0-9f11-7f31e6b3eb14,"122.71,20.21,154.21,45.71"
ANT-NAV-MT0501-013,"25.533,-62.3583,57.866,-60.7375"
GRL-REF-MT0504-007,"0,0,-26,72"
68c0a0be-6821-4478-9654-c0fc4a5f3a25,"122.71,20.21,154.21,45.71"
p16022coll246:113,"25,-10,-165,78"
p16022coll246:266,"24.65,-12.93,-168.35,78.2"
p16022coll246:394,"25.01,-9.8,-168.66,77.05"
e2bba847-0157-4f61-a246-d3ca62119df0,"-177.8833,-84.6333,-178.2333,0.5167"
VAC9619-002002,"37.51,47.3333,37.5,47.6667"
p16022coll230:1299,"144.4,-14.75,-64.35,71.6"
p16022coll246:209,"23.5,-50,-179.65,42.5"
p16022coll230:3459,"0.8167,36.3,-169.4667,85.0167"
e086daee-8784-478c-9ca3-4ee59e8bd320,"-179.95,-72.83,-178.2,83.47"
UNL~30~30~244~14468,"-180,-90,180,90"
bee8fbe3-e3d9-4f5a-8539-fbb2fa824a80,"3.0801,50.65,3.08,50.6501"
0d8f60d0-1183-40ff-89df-2a997236fd81,"0.49490779641,45.2446970208,0.4949077964,45.24469702081"
42835e41-55c1-4ef0-afe4-a577725e1f0a,"0.49490779641,45.2446970208,0.4949077964,45.24469702081"
VAC9619-003116,"-180,-90,180,90"
VAC9619-003401,"-180,-90,180,90"
b10de73a-238b-4f07-9769-10090a5c5724,"-87.6599,44.09,-87.66,44.0901"
ANT-NAV-OT2017-004,"75.9638,-83.6771,-144.4623,-83.4046"
ANT-NAV-OT2017-010,"75.9638,-83.6771,-144.4623,-83.4046"
ANT-NAV-OT2017-005,"131.1859,-81.8544,-162.646,-77.1856"
ANT-NAV-OT2017-011,"131.1859,-81.8544,-162.646,-77.1856"
p16022coll205:433,"-94.46671,44.3167,-94.4667,44.31671"
feca7f43-6d13-4f9e-a08b-f4975053877f,"-83.75,42.28,-83.749,42.281"
p16022coll205:514,"-71.06111,42.3583,-71.0611,42.35831"
ab98bb71-2695-41a1-893b-f681881f0cda,"-83.7399,42.28,-83.74,42.2801"
