Title,Alternative Title,Description,Language,Display Note,Creator,Title Source,Resource Class,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Format,Information,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
Act 167 Stormwater Management Plan - Stormwater Management Watersheds [Pennsylvania--York County],Act 167 Stormwater Management Plan - Stormwater Management Watersheds,"Watershed Information for York County, Pennsylvania Clipped out from the Statewide Dataset hosted by DEP. Information can be foundhere",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|Hydro|OpenData|YCPC,2018-02-26,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.14,39.72,-76.23,40.22",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::act-167-stormwater-management-plan-stormwater-management-watersheds,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/HYDRO_Watersheds/MapServer/0,,,9cf56559565d47f38ac02cfb684b6239_0,https://hub.arcgis.com/datasets/9cf56559565d47f38ac02cfb684b6239,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
Natural Areas Inventory [Pennsylvania--York County],Natural Areas Inventory,Designated Natural Areas in York County. For illustrative purposes only,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,Environment|FeatureService|OpenData|YCPC,2018-02-26,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.12,39.7,-76.22,40.31",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::natural-areas-inventory,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/ENVIR_Natural_Areas_Inventory/MapServer/0,,,0e8addc73cdb476e9cb7298ab59331aa_0,https://hub.arcgis.com/datasets/0e8addc73cdb476e9cb7298ab59331aa,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
Lakes and Ponds [Pennsylvania--York County],Lakes and Ponds,"Layer illustrates water features (lakes, ponds, major streams) along with the Susquehanna River",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|Hydro|OpenData|YCPC,2018-01-12,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.13,39.72,-76.21,40.23",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::lakes-and-ponds,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/HYDRO_Lakes_Ponds/MapServer/0,,,2eb2722ddc3b4c9ebfdba8dba1e07d34_0,https://hub.arcgis.com/datasets/2eb2722ddc3b4c9ebfdba8dba1e07d34,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
Park and Ride [Pennsylvania--York County],Park and Ride,Park and Ride in York County. Intended for illustration and demonstration purposes only.,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|OpenData|Transportation|YCPC,2019-11-01,Last modified 2024-05-23,,Pennsylvania--York County|Pennsylvania,"-77.04,39.76,-76.55,40.22",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::park-and-ride,,https://services1.arcgis.com/bzC4sqfGZJYY5WBz/arcgis/rest/services/Park_and_Ride/FeatureServer/0,,0883be8f9d1240c893b4c50ba418cc94_0,https://hub.arcgis.com/datasets/0883be8f9d1240c893b4c50ba418cc94,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,FOR PUBLIC DISTRIBUTION. Layer should not be used at scales larger than 1:2400,ArcGIS Hub,2024-09-20,Public
Streams [Pennsylvania--York County],Streams,This Layer shows all streams in York County Pennsylvania. The connected network of streams and waterways of York County are indicated as single lines in this coverage. Waterways are given connected topology to show the direction of flow from the headwaters of the stream through the watershed to the extent of the coverage. With ARC Network data can be used for watershed modelling. This Layer was originated from a Layer from PA DEP. York County has made updates to it as the county staff saw fit. With most nobable update being the hidden field used if it was hidden from view in the 2008 PA Map Aerial. Other Aerials used was the 2003 PA Map Aerial and 2015 York County Orthophoto.,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|Hydro|OpenData|YCPC,2018-01-12,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.12,39.72,-76.23,40.22",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::streams,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/HYDRO_Streams/MapServer/0,,,6dba834ac0094dba979384f4ec394ef9_0,https://hub.arcgis.com/datasets/6dba834ac0094dba979384f4ec394ef9,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
Landcover [Pennsylvania--York County],Landcover,"The following is a version of the Anderson Land Use/Land Cover classification adopted by Penn State University (Land Analysis Lab) for the Chesapeake Bay Basin Land Cover/Land Use Monitoring and Assessment Study. This data was last updated in 2003.CODE DESCRIPTION100 Urban or Built-Up Land110 Residential111 Single-Family Dwellings112 Multi_Family Dwellings113 Group Quarters114 Mobile Home Parks119 Other Residential120 Commercial121 Retail Sales/Wholesale/Professional Services122 Vehicle Related Activities123 Junk/Salvage Yards125 Warehouses and Temporary Storage129 Other Commercial130 Industrial131 Primary Processing at Extraction Site and Extraction Equipment132 Light Industry133 Heavy Industry 134 Electrical Generation135 Tank Farms and Materials Storage136 Facilities""137 Inactive/Dismantled Industrial Site139 Other Industrial140 Transportation/Communication141 Highways/Roads/Access Roads/Freeways/Interstates142 Parking Lots143 Railroads143X Dismantled Railroads143Y Repair Facilities""144 Airports145 Communications - antennas146 Marinas/Port Facilities/Docks149 Other Transportation/Communication150 Utilities151 Water Treatment152 Sewage Treatment Plants153 Power Substations170 Cemetery186 Religious187 Municipal Services188 Road repair and Maintenance Yard189 Other Institutional/Governmental190 Recreational191 Large Single Structure192 Multiple Structure193 Open Urban194 Open Rural195 Public Beaches199 Other Recreational200 Agriculture210 Cropland and Pasture211 Cropland212 Pasture213 Idle Fields214 Unvegetated Fields""215 Truck Crops216 Gardens220 Orchards/Nurseries/Horticulture221 Fruit and Nut Trees222 Fruit Bushes223 Vineyards224 Greenhouses225 Nurseries/Floriculture230 Confined Feeding Operations/Feedlots/Holding Areas231 Cattle232 Poultry233 Hogs234 Horses235 Sheep/Goats239 Other240 Farmsteads and Farm Related Buildings290 Other Agricultural 291 Fish Hatcheries300 Rangeland310 Herbaceous Rangeland320 Shrub-Brush Rangeland330 Mixed Rangeland400 Forestland410 Deciduous Forest411 Deciduous Forest412 Logged - Partial/Select Cut413 Recently Replanted - Deciduous420 Evergreen Forest421 Evergreen Forest422 Logged - Partial/Select Cut423 Recently Replanted - Evergreen430 Mixed Forest431 Mixed Forest432 Logged - Partial/Select Cut433 Recently Replanted - Mixed440 Clear-Cut441 Barren Clear-cut442 Non-barren Clear-cut500 Water510 and Canals""511 Rivers/Streams/Creeks/Bayous512 Canals520 Natural Lakes and Ponds521 Freshwater Lakes and Ponds522 Salt Lakes523 Salt Ponds530 Man-Made Reservoirs and Impoundments531 Reservoirs532 Mined Areas Reservoirs533 Lagoons/Basins534 Drainage Catchment Basin535 Trailing Ponds536 Farm Ponds540 Bays and Coves590 Other591 Open Ocean600 Wetlands610 Forested Wetlands611 Deciduous612 Evergreen613 Mixed620 Non-Forested Wetlands700 Barren Lands710 Salt Flats720 Beaches and River Banks721 Beaches722 Riverbanks/Flood Plains723 Mud Flats730 Inland Natural Sandy Areas731 Dunes732 Dry Water Courses740 Bare Exposed Rock750 Extraction751 Strip Mines751A Abandoned Strip Mines752 Stone Quarries752A Abandoned Quarries753 Sand and Gravel753A Abandoned Sand/Gravel754 Non-Strip Mined Minerals (Open Pit Mining)754A Abandoned Non-strip Mined Minerals755 Slag/Spoil Piles759 Other760 Transitional 761 Future Residential762 Future Commercial/Institutional763 Future Industrial764 Future Transportation/Communication765 Future Water Project766 Future Utilities768 Unidentifiable769 Other Transitional999 Unknown",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|OpenData|Planning|YCPC,2018-10-17,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.14,39.72,-76.23,40.22",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::landcover,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/LANDUSE_Landcover/MapServer/0,,,6f492cf21c044520bd65aa6b11098c94_0,https://hub.arcgis.com/datasets/6f492cf21c044520bd65aa6b11098c94,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
Wetlands [Pennsylvania--York County],Wetlands,"This data set represents the extent, approximate location and type of wetlands and deepwater habitats in the conterminous United States. These data delineate the areal extent of wetlands and surface waters as defined by Cowardin et al. (1979). Certain wetland habitats are excluded from the National mapping program because of the limitations of aerial imagery as the primary data source used to detect wetlands. These habitats include seagrasses or submerged aquatic vegetation that are found in the intertidal and subtidal zones of estuaries and near shore coastal waters. Some deepwater reef communities (coral or tuberficid worm reefs) have also been excluded from the inventory. These habitats, because of their depth, go undetected by aerial imagery. By policy, the Service also excludes certain types of ""farmed wetlands"" as may be defined by the Food Security Act or that do not coincide with the Cowardin et al. definition. Contact the Service's Regional Wetland Coordinator for additional information on what types of farmed wetlands are included on wetland maps.",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|Hydro|OpenData|YCPC,2018-02-26,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.13,39.72,-76.23,40.22",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::wetlands,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/HYDRO_Wetlands/MapServer/0,,,377d4ca603634b7e9cc1d8ec24663834_0,https://hub.arcgis.com/datasets/377d4ca603634b7e9cc1d8ec24663834,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
York County Property Viewer Web Application [Pennsylvania--York County],York County Property Viewer Web Application,"The Tax Parcel Estimator Web Application was created as a central source for citizen of York County to gauge associated school, municipal and county taxes for particular tax parcel(s) in the county. The application has tax information as well as some associated York County Assessment Office computer-assisted mass appraisal or CAMAinformation.The application also has a search engine that enables you to findparcel information by owner's last name, address or parcel lease number (18 digits). Theinformation in this application also identifies tax parcels on the sub-parcel level such ascondominiums and mobile homes in the county.Tax parcel layer within the applicationare updatedtwice a year using model-builder and python scripting to reflect current tax rates and changes in assessment values and millage rates.",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,Web services,,Attached_To_Webapp_Id:5774257Ab4Fb4Aee9Cf318E7313049Ee|Needs_Migrated|WebMapApplication|YCPC,2015-05-26,Last modified 2024-08-21,,Pennsylvania--York County|Pennsylvania,"-77.87,39.27,-75.56,40.61",ArcGIS Rest Service,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/apps/YorkCountyPA::york-county-property-viewer-web-application,,,,5774257ab4fb4aee9cf318e7313049ee,https://hub.arcgis.com/datasets/5774257ab4fb4aee9cf318e7313049ee,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,Public Access,ArcGIS Hub,2024-09-20,Public
York County Economic Development Mapping Application [Pennsylvania--York County],York County Economic Development Mapping Application,"Among the Infrastructure & the BuiltEnvironment goals set forth in the 2020 York County Economic Action Plan, a component of the York County Comprehensive Plan, was ""Supporting economic growth through new development and redevelopment of the built environment within established growth areas."" To implement this goal, the Plan recommends creating a dynamic and updateable inventory of all parcels that are vacant, undeveloped, underutilized, and zoned for economic development. The anticipated result would bea listing of parcels that are 2 or more acres in size and are ranked by suitability based on available infrastructure, services, and other factors determined to increase the economic development potential of the parcels. Areas within Established Rural Areas that are zoned properly would be included for consideration. The results of the land assessment will be made accessible for public and municipal use. This Economic Development Application tool is the result of the actions identified by the York County Economic Action Plan through outreach to businesses, residents, and other entities. We hope you will use the tool to become familiar with economic development potential in York County, identify future economic development needs, catalyze planning discussions, identify potential infrastructure investments, and assist with decision making. The information contained in this tool is updated on a continuous basis, as new information becomes available. Details on the selection criteria, analysis process, and other background information used in the development of this Tool is available at Link. ",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,Web services,,Attached_To_Webapp_Id:A04D92E160Be49A3Bd4Bf5C986E05A9F|ComprehensivePlan|EconomicDevelopment|Needs_Migrated|WebMapApplication|YCPC,2021-08-12,Last modified 2024-08-21,,Pennsylvania--York County|Pennsylvania,,ArcGIS Rest Service,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/apps/YorkCountyPA::york-county-economic-development-mapping-application,,,,a04d92e160be49a3bd4bf5c986e05a9f,https://hub.arcgis.com/datasets/a04d92e160be49a3bd4bf5c986e05a9f,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,Public,ArcGIS Hub,2024-09-20,Public
Zoning Overlays [Pennsylvania--York County],Zoning Overlays,Shows the Zoning overlays of York County. Updated when Approved by the Planning Commission board and a resolution is passed through the Municipality that is the effected area is. For illustration purposes only,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.","York County, Pennsylvania",Pennsylvania--York County,,,FeatureService|OpenData|Planning|YCPC,2018-02-22,Last modified 2024-09-16,,Pennsylvania--York County|Pennsylvania,"-77.05,39.74,-76.46,40.29",,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/datasets/YorkCountyPA::zoning-overlays,https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/ZONING_OVERLAYS/MapServer/0,,,af51061e36ab4d32884a4f8fcefbc4c2_0,https://hub.arcgis.com/datasets/af51061e36ab4d32884a4f8fcefbc4c2,"York County, PA GIS Open Data Portal",08b-42133,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,"Layer should not be used at scales larger than 1:2400.  Intended for illustration and demonstration purposes only.Distribution LiabilityTHE DATA AND METADATA HAS BEEN DEVELOPED SOLELY FOR INTERNAL USE BY YORK COUNTY PLANNING COMMISSION AND YORK COUNTY AS WELL AS ITS DEPARTMENTS AND AGENCIES (HEREINAFTER JOINTLY REFERRED TO AS “LICENSOR”) AND LICENSOR MAKES NO WARRANTIES, REPRESENTATIONS OR GUARANTEES, EITHER EXPRESS OR IMPLIED, AS TO THE COMPLETENESS, ACCURACY, OR CORRECTNESS OF THE DATA AND METADATA DOES NOT ACCEPT OR ASSUME ANY LIABILITY ARISING FROM OR FOR ANY INCORRECT, INCOMPLETE, OR MISLEADING DATA PROVIDED PURSUANT TO THIS PURCHASE/REQUEST.  THERE ARE NO WARRANTIES AND/OR REPRESENTATIONS, EITHER EXPRESS OR IMPLIED, OF MERCHANTABILITY OR FITNESS OF THE DATA FOR A PARTICULAR PURPOSE OR USE.  ALL DATA AND METADATA ARE PROVIDED “AS IS.”",ArcGIS Hub,2024-09-20,Public
