Title,Alternative Title,Description,Language,Display Note,B1G Language,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Geometry,Bounding Box,Centroid,Georeferenced,GeoNames,Relation,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Rights,Rights Holder,License,Access Rights,Format,File Size,WxS Identifier,B1G Image,ID,Identifier,Code,Accrual Method,Accrual Periodicity,Date Accessioned,Date Retired,Status,Publication State,Suppressed Record,Child Record,Mediator,Access,Created At,Updated At,Documentation,Download,FeatureServer,FGDC,Harvard Download,HTML,IIIF,ImageServer,Information,ISO19139,Manifest,MapServer,MODS,oEmbed,Index Map,TileServer,WCS,WFS,WMS,COG,PMTiles,XYZ Tiles,WMTS,TileJSON,Tile Map Service
Allegheny County GIS Open Data,"","Website for finding and accessing open data provided by Allegheny County, Pennsylvania",eng,"","","","",Pennsylvania--Allegheny County,,Websites,"",County government records,"","",Continually updated resource,,"","",Pennsylvania--Allegheny County|Pennsylvania,"POLYGON((-80.361 40.675, -79.689 40.675, -79.689 40.194, -80.361 40.194, -80.361 40.675))","-80.361,40.194,-79.689,40.675","40.4345,-80.025",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,https://twitter.com/Allegheny_Co/photo,08b-42003,https://openac-alcogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,08b-42003,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2024-05-28 16:15:17 -0500,,,,,,,,,https://openac-alcogis.opendata.arcgis.com,,,,,,,,,,,,,,,,
Anne Arundel County GIS Data,"","Website for finding and accessing open data provided by Anne Arundel County, Maryland",eng,"","","","",Maryland--Anne Arundel County,,Websites,"",County government records,"","",Continually updated resource,,"","",Maryland--Anne Arundel County|Maryland,"POLYGON((-76.840 39.237, -76.394 39.237, -76.394 38.713, -76.840 38.713, -76.840 39.237))","-76.840,38.713,-76.394,39.237","38.975,-76.617",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,04b-24003,https://maps.aacounty.org/api/feed/dcat-us/1.1.json,04b-24003,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2024-05-28 16:15:17 -0500,,,,,,,,,https://maps.aacounty.org/,,,,,,,,,,,,,,,,
"Ashland County, WI GIS Open Data Portal","","Website for finding and accessing open data provided by Ashland County, Wisconsin",eng,"","","","",Wisconsin--Ashland County,,Websites,"",County government records,"","",Continually updated resource,,"","",Wisconsin--Ashland County|Wisconsin,"POLYGON((-90.928 47.310, -89.957 47.310, -89.957 45.980, -90.928 45.980, -90.928 47.310))","-90.928,45.980,-89.957,47.310","46.644999999999996,-90.4425",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,https://lh3.googleusercontent.com/3Z8vMowDiJ652gU_4Nv88Lv7ENA8i5IWy4OQ2IfAR_-wRBL1d1ljwi5Oo9aCkOdsjuvYJqsEB3CMUcsERBsB-bZhLPkRvl_M691B-dcJzM1EMG7nEswNe4Z3ts1yLvQQESKPqr-ZKb_JA_5IIowAcVqDhXfSY3AJ5O1UlPXWtokmYfkP3nfLSpHmcGc-iVeYkBRqhYs00KacrX207DgcrmQnTUNGOTdFJrGk_4lN_fwwmjx2fBfCWlPrJz0EWyeGmb6DkTADh3TVoUakUV3J7L4kWggVCf_dpfsdW3wSDOuDNbsgLQ9UrqiMffzYq4mhScIfMXNH-ShscjY1OeBZ8sJJn40YXaBecdJwkatvDXnQ_FUooNDlapHCG_axDXnxjXX9v9Ci4oUSbYG9aoDLsDUHID8t2xzkm92cO1PBexWS5qKKdzh-_SoZoqNVpeT6OsfTO3-Bb1qSBZpC17Hr35MZu3Jkav2v-jfMmNB88o5XjzxGeh_kqJr1Gn5KrusJs0ouQXxOTdh1t3pr-3DGcbWQHEKe12DDuI5ir6VMnJdmw34QEYPfeuf6OVIqOQ5co6LopsWXCagJORMM-SWG7_1u8MttMiRicCHfgRlr=s50-no,10b-55003,https://data-ashlandcountywi.opendata.arcgis.com/api/feed/dcat-us/1.1.json,10b-55003,DCAT US 1.1,Weekly,2021-08-13,,Indexed,published,,,"",,2021-04-26 11:50:55 -0500,2024-05-28 16:15:18 -0500,,,,,,,,,https://data-ashlandcountywi.opendata.arcgis.com,,,,,,,,,,,,,,,,
Athens County GIS Data,"","Website for finding and accessing open data provided by Athens County, Ohio",eng,"","","","",Ohio--Athens County,,Websites,"",County government records,"","",Continually updated resource,,"","",Ohio--Athens County|Ohio,"POLYGON((-82.298 39.557, -81.722 39.557, -81.722 39.181, -82.298 39.181, -82.298 39.557))","-82.298,39.181,-81.722,39.557","39.369,-82.00999999999999",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,11b-39009,https://data-athgis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,11b-39009,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:50:00 -0500,2024-05-28 16:15:18 -0500,,,,,,,,,https://data-athgis.opendata.arcgis.com,,,,,,,,,,,,,,,,
Baltimore County Open Data Portal,"","Website for finding and accessing open data provided by Baltimore County, Maryland",eng,"","","","",Maryland--Baltimore County,,Websites,"",County government records,"","",Continually updated resource,,"","",Maryland--Baltimore County|Maryland,"POLYGON((-76.896 39.721, -76.333 39.721, -76.333 39.195, -76.896 39.195, -76.896 39.721))","-76.896,39.195,-76.333,39.721","39.458,-76.61449999999999",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,04b-24005,https://opendata.baltimorecountymd.gov/api/feed/dcat-us/1.1.json,04b-24005,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2024-05-28 16:15:18 -0500,,,,,,,,,https://opendata.baltimorecountymd.gov,,,,,,,,,,,,,,,,
Big Stone County Open Data,"","Website for finding and accessing open data provided by Big Stone County, Minnesota",eng,"","","","",Minnesota--Big Stone County,,Websites,"",County government records,"","",Continually updated resource,,"","",Minnesota--Big Stone County|Minnesota,"POLYGON((-96.835 45.586, -96.104 45.586, -96.104 45.177, -96.835 45.177, -96.835 45.586))","-96.835,45.177,-96.104,45.586","45.3815,-96.4695",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,05b-27011,https://data-bigstonecounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,05b-27011,DCAT US 1.1,Weekly,2021-04-26,,Indexed,published,,,"",,2021-04-26 12:02:50 -0500,2024-05-28 16:15:18 -0500,,,,,,,,,https://data-bigstonecounty.opendata.arcgis.com,,,,,,,,,,,,,,,,
Calvert County Open GIS Data Portal,"","Website for finding and accessing open data provided by Calvert County, Maryland",eng,"","","","",Maryland--Calvert County,,Websites,"",County government records,"","",Continually updated resource,,"","",Maryland--Calvert County|Maryland,"POLYGON((-76.702 38.769, -76.382 38.769, -76.382 38.322, -76.702 38.322, -76.702 38.769))","-76.702,38.322,-76.382,38.769","38.545500000000004,-76.542",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,04b-24009,https://calvert-county-open-data-calvertgis.hub.arcgis.com/api/feed/dcat-us/1.1.json,04b-24009,DCAT US 1.1,Weekly,2022-07-26,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2024-05-28 16:15:18 -0500,,,,,,,,,https://calvert-county-open-data-calvertgis.hub.arcgis.com,,,,,,,,,,,,,,,,
Capital Area Open Data Portal,"",Website for finding and accessing open data provided by The Capital Area Regional Planning Commission,eng,"","",The Capital Area Regional Planning Commission,"",Wisconsin--Dane County,,Websites,"",Intergovernment records,"","",Continually updated resource,,"","",Wisconsin--Dane County|Wisconsin,"POLYGON((-89.567 43.172, -89.246 43.172, -89.246 42.998, -89.567 42.998, -89.567 43.172))","-89.567,42.998,-89.246,43.172","43.084999999999994,-89.4065",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,https://www.arcgis.com/sharing/rest/content/items/e2de4f5a82ce43199c1a96491d99fcd8/resources/RPC_Web_RGB_Horizontal.jpg?v=1611983481215,10b-55025-01,https://data-carpc.opendata.arcgis.com/api/feed/dcat-us/1.1.json,10b-55025,DCAT US 1.1,Weekly,2021-04-26,,Indexed,published,,,"",,2021-04-26 11:54:05 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://data-carpc.opendata.arcgis.com,,,,,,,,,,,,,,,,
Carroll County GIS Open Data,"","Website for finding and accessing open data provided by Carroll County, Maryland",eng,"","","","",Maryland--Carroll County,,Websites,"",County government records,"","",Continually updated resource,,"","",Maryland--Carroll County|Maryland,"POLYGON((-77.312 39.721, -76.787 39.721, -76.787 39.348, -77.312 39.348, -77.312 39.721))","-77.312,39.348,-76.787,39.721","39.534499999999994,-77.0495",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,04b-24013,https://data-carrollco-md.opendata.arcgis.com/api/feed/dcat-us/1.1.json,04b-24013,DCAT US 1.1,Weekly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:00 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,https://data-carrollco-md.opendata.arcgis.com,,,,,,,,,,,,,,,,
Centre County Open Data,"","Website for finding and accessing open data provided by Centre County, Pennsylvania",eng,"","","","",Pennsylvania--Centre County,,Websites,"",County government records,"","",Continually updated resource,,"","",Pennsylvania--Centre County|Pennsylvania,"POLYGON((-78.377 41.253, -77.144 41.253, -77.144 40.692, -78.377 40.692, -78.377 41.253))","-78.377,40.692,-77.144,41.253","40.9725,-77.76050000000001",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,ArcGIS Hub,,,,08b-42027,http://gisdata-centrecountygov.opendata.arcgis.com/api/feed/dcat-us/1.1.json,08b-42027,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2024-05-28 16:15:19 -0500,,,,,,,,,http://gisdata-centrecountygov.opendata.arcgis.com,,,,,,,,,,,,,,,,
