Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Resource Type,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Format,Information,Download,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
BPTC GTFS Feed [Indiana--Bloomington],BPTC GTFS Feed,,eng,data.bloomington.in.gov,Indiana--Bloomington,Datasets,Vector data,2022-07-05,Continually updated resource,,Indiana--Bloomington|Indiana,"-86.592,39.121,-86.471,39.221",Shapefile,https://data.bloomington.in.gov/d/gief-ttiy,https://data.bloomington.in.gov/download/gief-ttiy/application/zip,gief-ttiy,https://data.bloomington.in.gov/api/views/gief-ttiy,"City of Bloomington, Indiana Open Data Portal",01c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,01c-01,,Socrata,2024-05-28,Public
Police Districts [Maryland--Prince George's County],Police Districts,Prince George's County Police Department currently monitors six districts within the county. The map below displays the boundaries of each district. This map is refreshed when needed.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2016-08-11,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/2czg-8cdk,https://data.princegeorgescountymd.gov/api/geospatial/2czg-8cdk?method=export&format=Original,2czg-8cdk,https://data.princegeorgescountymd.gov/api/views/2czg-8cdk,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Census Tract map [Maryland--Prince George's County],Census Tract map,This map represents the Prince George's County population until 2013 according to census.gov.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2015-06-04,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/4cxr-fqa4,https://data.princegeorgescountymd.gov/api/geospatial/4cxr-fqa4?method=export&format=Original,4cxr-fqa4,https://data.princegeorgescountymd.gov/api/views/4cxr-fqa4,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Councilmanic District [Maryland--Prince George's County],Councilmanic District,This is a Councilmanic map displaying district with their respective members contact info.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2015-06-04,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/99q4-ehvr,https://data.princegeorgescountymd.gov/api/geospatial/99q4-ehvr?method=export&format=Original,99q4-ehvr,https://data.princegeorgescountymd.gov/api/views/99q4-ehvr,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
School Board Districts [Maryland--Prince George's County],School Board Districts,A map of Prince George's County School Board Districts. This map is refreshed when needed.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2014-06-05,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/av8w-982m,https://data.princegeorgescountymd.gov/api/geospatial/av8w-982m?method=export&format=Original,av8w-982m,https://data.princegeorgescountymd.gov/api/views/av8w-982m,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Polling Places [Maryland--Prince George's County],Polling Places,A map of Prince George's County Election polling places as of 2016. This map is refreshed when needed.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2014-06-05,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/e2wd-vu2n,https://data.princegeorgescountymd.gov/api/geospatial/e2wd-vu2n?method=export&format=Original,e2wd-vu2n,https://data.princegeorgescountymd.gov/api/views/e2wd-vu2n,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Legislative Districts within Prince George's County [Maryland--Prince George's County],Legislative Districts within Prince George's County,A map of police stations within the Prince George's County boundary and district layers. This map is refreshed when needed.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2014-07-11,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/euxi-tx6q,https://data.princegeorgescountymd.gov/api/geospatial/euxi-tx6q?method=export&format=Original,euxi-tx6q,https://data.princegeorgescountymd.gov/api/views/euxi-tx6q,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Road Centerlines [Maryland--Prince George's County],Road Centerlines,"This layer contains a geospatial representation of the center of the paved surface of a travel roadway for all public and some private streets in Prince George's County, Maryland. Attributes for the centerline contain street information, routing functionality, and class type. The line work was created from the 1993 1FT aerial imagery and the attributes were entered by CENTECH Inc. This layer is maintained by Prince George's County Office of Information Technology and is primarily used to support the emergency response 911 system as well as other functions for the County agencies. The Spatial Data, and the information therein, is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall Prince George's County be liable for direct, indirect, incidental, consequential or special damages of any kind. Prince George's County does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. Any data derived from the Data must acknowledge Prince George's County in the metadata.",eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2016-11-29,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/h3zn-fxdn,https://data.princegeorgescountymd.gov/api/geospatial/h3zn-fxdn?method=export&format=Original,h3zn-fxdn,https://data.princegeorgescountymd.gov/api/views/h3zn-fxdn,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Prince George's County Boundary [Maryland--Prince George's County],Prince George's County Boundary,"Prince George's County is the second-most populous county in Maryland, with an estimated 890K citizens as of 2013. The map below depicts the boundaries of the County. This map is refreshed when needed.",eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2014-06-18,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/r5s8-6v7y,https://data.princegeorgescountymd.gov/api/geospatial/r5s8-6v7y?method=export&format=Original,r5s8-6v7y,https://data.princegeorgescountymd.gov/api/views/r5s8-6v7y,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Police Beats [Maryland--Prince George's County],Police Beats,A map of Prince George's County Police Beats. This map is refreshed when needed.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2016-08-11,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/vxhp-vpgw,https://data.princegeorgescountymd.gov/api/geospatial/vxhp-vpgw?method=export&format=Original,vxhp-vpgw,https://data.princegeorgescountymd.gov/api/views/vxhp-vpgw,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
Map of Municipal Boundaries [Maryland--Prince George's County],Map of Municipal Boundaries,This is a map of Prince George's County Municipal boundaries. This map is updated when changes are needed.,eng,data.princegeorgescountymd.gov,Maryland--Prince George's County,Datasets,Vector data,2015-06-04,Continually updated resource,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131",Shapefile,https://data.princegeorgescountymd.gov/d/yknd-q6gx,https://data.princegeorgescountymd.gov/api/geospatial/yknd-q6gx?method=export&format=Original,yknd-q6gx,https://data.princegeorgescountymd.gov/api/views/yknd-q6gx,Prince George's County Open Data Portal,04b-24033,ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24033,,Socrata,2024-05-28,Public
