title,name,notes,url,tags,organization,author,license,resources_count
0.1% annual probability extents,0-1-annual-probability-extents12,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Bradford Beck is the largest watercourse running through Bradford city centre. </span></span></p><p style='margin:0 0 14 0;'><span>This dataset consists of </span><span>a multipart polygon describing the spatial extents of modelled flooding for </span><span>a rainfall event that has a 0.1% probability in any year.</span></p><p style='margin:0 0 14 0;'><span>Typically, river and sewer systems are modelled with tools which are tailored for those purposes. Although the hydraulic processes modelling at the core of the different tools may be similar, the user interfaces, data management systems and hydrological modelling are designed to meet different requirements and reflect the differences in the nature of the different drainage systems. The diversity of the river system and the land use presents a number of choices with respect to the modelling methodology.</span></p><p style='margin:0 0 14 0;'><span>To the west of Bradford, the predominantly rural land use and open (natural) watercourses are best represented by river modelling software. However, the urban land use and the nature of the drainage system with culverted watercourses are better represented by sewer simulation software.</span></p><p style='margin:0 0 14 0;'><span>The City of Bradford Metropolitan District Council (CBMDC) acquired InfoWorks CS 2D to carry out this type of modelling. This software is accepted by the Environment Agency as being suitable for this type of assessment. The Bradford Beck system is represented by a 1D network of nodes and conduits, the information used to construct the network being obtained from a mixture of historic and contemporary surveys. The 2D surface networks have been created from the 1m horizontal resolution LIDAR data set procured by CBMDC</span></p><p style='margin:0 0 14 0;'><span>The hydraulic model is driven by hydrographs generated using the Revitalised Flood Hydrograph (ReFH) method2. Hydrographs were generated at the start of each main branch in the model and at key intermediate points along the length of the model.</span></p><p style='margin:0 0 14 0;'><span>The simulations modelled in InfoWorks use a 1 metre horizontal resolution Digital Elevation Model (DEM), which results in a much higher resolution of detail (including vertical resolution). It is important to remember that the hydrological and hydraulic representations in the modelling are simplifications of reality and that it is important not to place too much emphasis on perceptions of accuracy resulting from the increased resolution.</span></p></div></div></div>",https://spatialdata-cbmdc.hub.arcgis.com/datasets/CBMDC::0-1-annual-probability-extents,"['Annual probability event', 'Annual probability flood event', 'Bradford Beck', 'Bradford City Centre', 'Environment', 'Flood', 'Flood extent', 'Model']",City of Bradford Metropolitan District Council,,,6
0.1% annual probability extents with 30% climate change adjustment,0-1-annual-probability-extents-with-30-climate-change-adjustment13,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Bradford Beck is the largest watercourse running through Bradford city centre. </span></span></p><p style='margin:0 0 14 0;'><span>This dataset consists of </span><span>a multipart polygon describing the spatial extents of modelled flooding </span><span>for a rainfall event that has a </span><span>0.</span><span>1% probability in any year plus 30% additional rainfall for a climate change adjustment</span><span>.</span></p><p style='margin:0 0 14 0;'><span>Typically, river and sewer systems are modelled with tools which are tailored for those purposes. Although the hydraulic processes modelling at the core of the different tools may be similar, the user interfaces, data management systems and hydrological modelling are designed to meet different requirements and reflect the differences in the nature of the different drainage systems. The diversity of the river system and the land use presents a number of choices with respect to the modelling methodology.</span></p><p style='margin:0 0 14 0;'><span>To the west of Bradford, the predominantly rural land use and open (natural) watercourses are best represented by river modelling software. However, the urban land use and the nature of the drainage system with culverted watercourses are better represented by sewer simulation software.</span></p><p style='margin:0 0 14 0;'><span>The City of Bradford Metropolitan District Council (CBMDC) acquired InfoWorks CS 2D to carry out this type of modelling. This software is accepted by the Environment Agency as being suitable for this type of assessment. The Bradford Beck system is represented by a 1D network of nodes and conduits, the information used to construct the network being obtained from a mixture of historic and contemporary surveys. The 2D surface networks have been created from the 1m horizontal resolution LIDAR data set procured by CBMDC</span></p><p style='margin:0 0 14 0;'><span>The hydraulic model is driven by hydrographs generated using the Revitalised Flood Hydrograph (ReFH) method2. Hydrographs were generated at the start of each main branch in the model and at key intermediate points along the length of the model.</span></p><p style='margin:0 0 14 0;'><span>The simulations modelled in InfoWorks use a 1 metre horizontal resolution Digital Elevation Model (DEM), which results in a much higher resolution of detail (including vertical resolution). It is important to remember that the hydrological and hydraulic representations in the modelling are simplifications of reality and that it is important not to place too much emphasis on perceptions of accuracy resulting from the increased resolution.</span></p></div></div></div>",https://spatialdata-cbmdc.hub.arcgis.com/datasets/CBMDC::0-1-annual-probability-extents-with-30-climate-change-adjustment,"['Annual probability event', 'Annual probability flood event', 'Bradford Beck', 'Bradford City Centre', 'Climate change', 'Environment', 'Flood', 'Flood extent', 'Model']",City of Bradford Metropolitan District Council,,,6
0.1% annual probability outputs,0-1-annual-probability-outputs11,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Bradford Beck is the largest watercourse running through Bradford city centre. </span></span></p><p><span>This dataset consists of triangulated areas and has a number of attributes describing various modelling output parameters such as depth, elevation etc. for a rainfall event that has a </span><span>0.</span><span>1% probability in any year.</span></p><p style='margin:0 0 14 0;'><span>Typically, river and sewer systems are modelled with tools which are tailored for those purposes. Although the hydraulic processes modelling at the core of the different tools may be similar, the user interfaces, data management systems and hydrological modelling are designed to meet different requirements and reflect the differences in the nature of the different drainage systems. The diversity of the river system and the land use presents a number of choices with respect to the modelling methodology.</span></p><p style='margin:0 0 14 0;'><span>To the west of Bradford, the predominantly rural land use and open (natural) watercourses are best represented by river modelling software. However, the urban land use and the nature of the drainage system with culverted watercourses are better represented by sewer simulation software.</span></p><p style='margin:0 0 14 0;'><span>The City of Bradford Metropolitan District Council (CBMDC) acquired InfoWorks CS 2D to carry out this type of modelling. This software is accepted by the Environment Agency as being suitable for this type of assessment. The Bradford Beck system is represented by a 1D network of nodes and conduits, the information used to construct the network being obtained from a mixture of historic and contemporary surveys. The 2D surface networks have been created from the 1m horizontal resolution LIDAR data set procured by CBMDC</span></p><p style='margin:0 0 14 0;'><span>The hydraulic model is driven by hydrographs generated using the Revitalised Flood Hydrograph (ReFH) method2. Hydrographs were generated at the start of each main branch in the model and at key intermediate points along the length of the model.</span></p><p style='margin:0 0 14 0;'><span>The simulations modelled in InfoWorks use a 1 metre horizontal resolution Digital Elevation Model (DEM), which results in a much higher resolution of detail (including vertical resolution). It is important to remember that the hydrological and hydraulic representations in the modelling are simplifications of reality and that it is important not to place too much emphasis on perceptions of accuracy resulting from the increased resolution.</span></p></div></div></div>",https://spatialdata-cbmdc.hub.arcgis.com/datasets/CBMDC::0-1-annual-probability-outputs,"['Annual probability event', 'Annual probability flood event', 'Bradford Beck', 'Bradford City Centre', 'Environment', 'Flood', 'Flood extent', 'Model']",City of Bradford Metropolitan District Council,,,6
0.1% annual probability outputs with 30% climate change adjustment,0-1-annual-probability-outputs-with-30-climate-change-adjustment14,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Bradford Beck is the largest watercourse running through Bradford city centre. </span></span></p><p style='margin:0 0 14 0;'><span>This dataset consists of triangulated areas and has a number of attributes describing various modelling output parameters such as depth, elevation etc. </span><span>for a rainfall event that has a </span><span>0.</span><span>1% probability in any year </span><span>plus 30% additional rainfall for a climate change adjustment</span><span>.</span></p><p style='margin:0 0 14 0;'><span>Typically, river and sewer systems are modelled with tools which are tailored for those purposes. Although the hydraulic processes modelling at the core of the different tools may be similar, the user interfaces, data management systems and hydrological modelling are designed to meet different requirements and reflect the differences in the nature of the different drainage systems. The diversity of the river system and the land use presents a number of choices with respect to the modelling methodology.</span></p><p style='margin:0 0 14 0;'><span>To the west of Bradford, the predominantly rural land use and open (natural) watercourses are best represented by river modelling software. However, the urban land use and the nature of the drainage system with culverted watercourses are better represented by sewer simulation software.</span></p><p style='margin:0 0 14 0;'><span>The City of Bradford Metropolitan District Council (CBMDC) acquired InfoWorks CS 2D to carry out this type of modelling. This software is accepted by the Environment Agency as being suitable for this type of assessment. The Bradford Beck system is represented by a 1D network of nodes and conduits, the information used to construct the network being obtained from a mixture of historic and contemporary surveys. The 2D surface networks have been created from the 1m horizontal resolution LIDAR data set procured by CBMDC</span></p><p style='margin:0 0 14 0;'><span>The hydraulic model is driven by hydrographs generated using the Revitalised Flood Hydrograph (ReFH) method2. Hydrographs were generated at the start of each main branch in the model and at key intermediate points along the length of the model.</span></p><p style='margin:0 0 14 0;'><span>The simulations modelled in InfoWorks use a 1 metre horizontal resolution Digital Elevation Model (DEM), which results in a much higher resolution of detail (including vertical resolution). It is important to remember that the hydrological and hydraulic representations in the modelling are simplifications of reality and that it is important not to place too much emphasis on perceptions of accuracy resulting from the increased resolution.</span></p></div></div></div>",https://spatialdata-cbmdc.hub.arcgis.com/datasets/CBMDC::0-1-annual-probability-outputs-with-30-climate-change-adjustment,"['Annual probability event', 'Annual probability flood event', 'Bradford Beck', 'Bradford City Centre', 'Climate change', 'Environment', 'Flood', 'Model', 'depth', 'elevation', 'hazard', 'speed']",City of Bradford Metropolitan District Council,,,6
02P Expenditure Over 25k - Apr-19,02p-expenditure-over-25k-apr-19,"NHS Barnsley CCG Expenditure over £25K Apr 2019
",,[],NHS Barnsley CCG,,Open Data Commons Public Domain Dedication and License (PDDL),1
02P Expenditure Over 25k - Apr-20,02p-expenditure-over-25k-apr-20,"NHS Barnsley CCG Expenditure over £25K Apr 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Apr-21,02p-expenditure-over-25k-apr-21,"NHS Barnsley CCG Expenditure over £25K Apr-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Aug-20,02p-expenditure-over-25k-aug-20,"NHS Barnsley CCG Expenditure over £25K Aug 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Aug-21,02p-expenditure-over-25k-aug-21,"NHS Barnsley CCG Expenditure over £25K Aug-21
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
02P Expenditure Over 25k - Dec-20,02p-expenditure-over-25k-dec-20,"NHS Barnsley CCG Expenditure over £25K Dec 2020
",,[],NHS Barnsley CCG,,Creative Commons Attribution,1
