Publisher,Date,Title,Description,Metadata File,HTML,Download,Information,ID,Bounding Box,Resource Type,Resource Class
"Adams County - Ag Security Areas
Agricultureal Security Areas  of Adams County, Pennsylvania

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Ag Security Areas,"Agricultureal Security Areas  of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_AgSecurityAreas202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_AgSecurityAreas202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_AgSecurityAreas202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2077,pasda-2077,"-77.431890,39.718087,-76.958211,40.064407",unspecified data,Datasets
"Adams County - Land Conservancy Easements
Land Conservancy Easements of Adams County, Pennsylvania

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Land Conservancy Easements,"Land Conservancy Easements of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_LandConservancyEasements202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_LandConservancyEasements202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_LandConservancyEasements202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2078,pasda-2078,"-77.446040,39.716051,-76.962731,40.060219",unspecified data,Datasets
"Adams County - Mt Joy Twp Preserved Farms
Mt Joy Twp Preserved Farms of Adams County, Pennsylvania

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Mt Joy Twp Preserved Farms,"Mt Joy Twp Preserved Farms of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_MtJoyTwpPreservedFarms202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MtJoyTwpPreservedFarms202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_MtJoyTwpPreservedFarms202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2079,pasda-2079,"-77.187315,39.737967,-77.120451,39.806974",unspecified data,Datasets
"Adams County - Municipal Boundary
Adams County Municipal Boundaies

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Municipal Boundary,Adams County Municipal Boundaies,FullMetadataDisplay.aspx?file=AdamsCounty_MunicipalBoundary202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MunicipalBoundary202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_MunicipalBoundary202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1917,pasda-1917,"-77.472235,39.717592,-76.952451,40.070974",unspecified data,Datasets
"Adams County - Parcels
Adams County parcels

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Parcels,Adams County parcels,FullMetadataDisplay.aspx?file=AdamsCounty_Parcels202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_Parcels202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_Parcels202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1918,pasda-1918,"-77.472229,39.717566,-76.952241,40.071480",unspecified data,Datasets
"Adams County - Preserved Farms
Preserved Farms of Adams County, Pennsylvania

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Preserved Farms,"Preserved Farms of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_PreservedFarms202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_PreservedFarms202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_PreservedFarms202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2080,pasda-2080,"-77.406893,39.718355,-76.984984,40.052617",unspecified data,Datasets
"Adams County - Streets
Adams County streets

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Adams County - Streets,Adams County streets,FullMetadataDisplay.aspx?file=AdamsCounty_Roads202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_Roads202306.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_Roads202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1919,pasda-1919,"-77.470487,39.717706,-76.954830,40.070894",unspecified data,Datasets
"Glacial Deposits of Northwestern Pennsylvania
Digitized regional surficial geology map for northwestern Pennsylvania. The complete citation for the paper map is: Map of the Glacial Deposits of Northwestern Pennsylvania by V.C. Shepps, J.B. Droste, and R.F. Sitler under the supervision of G.W.White, 1959, Bulletin G-32, Pennsylvania Geologic Survey. The original map was published at a scale of 1:125,000. Three counties are fully covered by these deposits and mapped (Crawford, Erie, and Mercer); five more are partially covered and mapped (Beaver, Butler, Lawrence, Warren, and Venango). 
This GIS dataset shows the areal distribution of 14 distinct glacial deposits from the Pleistocene Epoch and Recent stream alluvium and/or bedrock exposures. All mapping activity and lithologic interpretations were made by the original authors of the map (Shepps et al., 1959); the authors of this electronic geospatial resource (Shaffer et al., 2005) have only provided digital transfer of the map features and attributes and documentation of the process. Purpose:
This dataset identifies the distribution of surficial unconsolidated sediments (glacial deposits and stream alluvium) in northwestern PA. This map is the only published comprehensive regional surficial geologic map available for the region. The original map was digitized to provide an electronic version for GIS work. Potential users should read the Supplemental Information Section (below) to determine the appropriate scale for using these data. More detailed surficial geologic maps may exist within the mapped area in either paper or electronic format. Researchers are encouraged to check with the U.S. Geological Survey, Pennsylvania Geologic Survey, PASDA, and/or Geology Departments at local universities and colleges for other maps.



Metadata
 | 
Download
 | More Options...",2018,Glacial Deposits of Northwestern Pennsylvania,"Digitized regional surficial geology map for northwestern Pennsylvania. The complete citation for the paper map is: Map of the Glacial Deposits of Northwestern Pennsylvania by V.C. Shepps, J.B. Droste, and R.F. Sitler under the supervision of G.W.White, 1959, Bulletin G-32, Pennsylvania Geologic Survey. The original map was published at a scale of 1:125,000. Three counties are fully covered by these deposits and mapped (Crawford, Erie, and Mercer); five more are partially covered and mapped (Beaver, Butler, Lawrence, Warren, and Venango). 
This GIS dataset shows the areal distribution of 14 distinct glacial deposits from the Pleistocene Epoch and Recent stream alluvium and/or bedrock exposures. All mapping activity and lithologic interpretations were made by the original authors of the map (Shepps et al., 1959); the authors of this electronic geospatial resource (Shaffer et al., 2005) have only provided digital transfer of the map features and attributes and documentation of the process. Purpose:
This dataset identifies the distribution of surficial unconsolidated sediments (glacial deposits and stream alluvium) in northwestern PA. This map is the only published comprehensive regional surficial geologic map available for the region. The original map was digitized to provide an electronic version for GIS work. Potential users should read the Supplemental Information Section (below) to determine the appropriate scale for using these data. More detailed surficial geologic maps may exist within the mapped area in either paper or electronic format. Researchers are encouraged to check with the U.S. Geological Survey, Pennsylvania Geologic Survey, PASDA, and/or Geology Departments at local universities and colleges for other maps.",FullMetadataDisplay.aspx?file=NWPAGlacialDeposits2018.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=NWPAGlacialDeposits2018.xml,https://www.pasda.psu.edu/download/alleghenycollege/AlleghenyCollege_GlacialDeposits2018.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1452,pasda-1452,"-80.529940,40.703260,-79.035010,42.275313",unspecified data,Datasets
"Thickness of Glacial Deposits, Western Crawford County, Pennsylvania
Digitized sediment thickness map for western Crawford County, Pennsylvania. (The term western applies to all portions of the county west of 80 degrees 07' 30"") The complete citation for the source map is: Map Showing the Thickness of Glacial Deposits and Locations of Wells in Western Crawford County, Pennsylvania by George R. Schiner and John T. Gallaher, 1979, W46, Plate 2. The original map was published at a scale of 1:50,000. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 46, Geology and Groundwater Resources of Western Crawford County, Pennsylvania. This GIS dataset shows the areal distribution of glacial deposits and estimated well yields across the western portion of Crawford County. Water well locations published on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Shiner and Gallaher, 1979); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.

Metadata
 | 
Download
 | More Options...",2010,"Thickness of Glacial Deposits, Western Crawford County, Pennsylvania","Digitized sediment thickness map for western Crawford County, Pennsylvania. (The term western applies to all portions of the county west of 80 degrees 07' 30"") The complete citation for the source map is: Map Showing the Thickness of Glacial Deposits and Locations of Wells in Western Crawford County, Pennsylvania by George R. Schiner and John T. Gallaher, 1979, W46, Plate 2. The original map was published at a scale of 1:50,000. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 46, Geology and Groundwater Resources of Western Crawford County, Pennsylvania. This GIS dataset shows the areal distribution of glacial deposits and estimated well yields across the western portion of Crawford County. Water well locations published on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Shiner and Gallaher, 1979); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.",FullMetadataDisplay.aspx?file=AlleghenyCollege_GlacialDeposits1979.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCollege_GlacialDeposits1979.xml,https://www.pasda.psu.edu/download/alleghenycollege/AlleghenyCollege_GlacialDeposits1979.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1529,pasda-1529,"-80.522125,41.480059,-80.119980,41.851616",unspecified data,Datasets
"Thickness of Unconsolidated Deposits of Erie County, Pennsylvania
Digitized sediment thickness map for Erie County, Pennsylvania. The complete citation for the source map is: Map Showing the Thickness of Unconsolidated Deposits, Locations of Selected Wells, and Seismic-Refraction Cross Sections by David B. Richards, J. Jack McCoy, and John T. Gallaher, 1987, W62, Plate 2. The original map was published at a scale of 1:62,500. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 62, Groundwater Resources of Erie County, Pennsylvania. This GIS dataset shows the areal distribution of sediment thickness across Erie County. Water well locations and geophysical data on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Richards et al., 1987); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.

Metadata
 | 
Download
 | More Options...",2010,"Thickness of Unconsolidated Deposits of Erie County, Pennsylvania","Digitized sediment thickness map for Erie County, Pennsylvania. The complete citation for the source map is: Map Showing the Thickness of Unconsolidated Deposits, Locations of Selected Wells, and Seismic-Refraction Cross Sections by David B. Richards, J. Jack McCoy, and John T. Gallaher, 1987, W62, Plate 2. The original map was published at a scale of 1:62,500. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 62, Groundwater Resources of Erie County, Pennsylvania. This GIS dataset shows the areal distribution of sediment thickness across Erie County. Water well locations and geophysical data on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Richards et al., 1987); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.",FullMetadataDisplay.aspx?file=AlleghenyCollege_UnconsolidatedDeposits1987.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCollege_UnconsolidatedDeposits1987.xml,https://www.pasda.psu.edu/download/alleghenycollege/AlleghenyCollege_UnconsolidatedDeposits1987.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1530,pasda-1530,"-80.520604,41.841946,-79.602871,42.283103",unspecified data,Datasets
