Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates,projection
"Soil interpretative map of important farmlands, Hunt County, Texas","Soil interpretative map of important farmlands, Hunt County, Texas","Shows land use. Includes vicinity map. ""October 1979 base 4-R-37097.""",,74 x 69 centimeters,,English,United States. Soil Conservation Service,"USDA-SCS (Fort Worth, Tex)",,Agricultural Resources|Land Use,1980,,,https://umedia.lib.umn.edu/item/p16022coll624:946,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/946/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/946,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/946/manifest.json,UMN_ALMA:9947589510001701,p16022coll624:946,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-11T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Texas,United States,North America,Hunt County,W0961500 W0955500 N0332500 N0325500|Not given,
"Anoka County, Minnesota","Anoka County, Minnesota","""Source: General highway map, Anoka County, Minnesota, 1976.""; ""11-20-78. 5,R-37,092.""; Includes location map.",,51 x 66 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"Dept. of Agriculture, Soil Conservation Service (Washington.)",,"Agricultural Resources|Land Use, Rural",1979,,,https://umedia.lib.umn.edu/item/p16022coll624:935,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/935/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/935,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/935/manifest.json,UMN_ALMA:9939637230001701,p16022coll624:935,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Anoka County,-93.512649 -93.018413 45.414798 45.035365|(W 93.512649°--W 93.018413°/N 45.414798°--N 45.035365°).,Polyconic projection
"Benton County, Minnesota","Benton County, Minnesota","Scale also incorrectly stated as 1:63,360.; ""Source: General highway map, Benton County, Minnesota (1976).""; ""3-15-79. 5,R-37,251.""; Includes location map.",,51 x 66 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"Dept. of Agriculture, Soil Conservation Service (Washington.)",,"Agricultural Resources|Land Use, Rural",1979,,,https://umedia.lib.umn.edu/item/p16022coll624:942,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/942/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/942,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/942/manifest.json,UMN_ALMA:9953190060001701,p16022coll624:942,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Benton County,-94.353165 -93.759435 45.824252 45.559066|(W 94.353165°--W 93.759435°/N 45.824252°--N 45.559066°).,Polyconic projection
"Blue Earth County, Minnesota","Blue Earth County, Minnesota","""4-1-82. 5,S-38,544.""; ""Source: 1976 general county highway map and information from SCS field personnel with interpretations derived from soil survey published in 1978.""; Includes location map.",,,"Scale 1:100,000",English,United States. Soil Conservation Service,"United States Dept. of Agriculture, Soil Conservation Service (Washington, D.C.)",,"Agricultural Resources|Agriculture|Land Use, Rural",1982,,,https://umedia.lib.umn.edu/item/p16022coll624:915,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/915/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/915,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/915/manifest.json,UMN_ALMA:9950446220001701,p16022coll624:915,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Blue Earth County,"W0942215 W0934604 N0441550 N0435059|(W 94ʻ22'15""--W 93ʻ46'04""/N 44ʻ15'50""--N 43ʻ50'59"")",Polyconic projection
"Carlton County, Minnesota","Carlton County, Minnesota","""Source: General highway map, Carlton County, Minnesota (1976).""; ""5-10-79. 5,R-37,316.""; Includes location map.",,55 x 90 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"Dept. of Agriculture, Soil Conservation Service (Washington.)",,"Agricultural Resources|Land Use, Rural",1979,,,https://umedia.lib.umn.edu/item/p16022coll624:899,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/899/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/899,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/899/manifest.json,UMN_ALMA:9953185160001701,p16022coll624:899,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Carlton County,-93.064867 -92.291584 46.769061 46.41722|(W 93.064867°--W 92.291584°/N 46.769061°--N 46.41722°).,Polyconic projection
"Carver County, Minnesota","Carver County, Minnesota","""Source: General highway map, Carver County, Minnesota (1976).""; ""11-16-78. 5,R-37,090.""; Includes location map.",,46 x 60 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"Dept. of Agriculture, Soil Conservation Service (Lincoln, Neb.)",,"Agricultural Resources|Land Use, Rural",1979,,,https://umedia.lib.umn.edu/item/p16022coll624:927,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/927/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/927,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/927/manifest.json,UMN_ALMA:9915410210001701,p16022coll624:927,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Carver County,-94.012497 -93.520159 44.978712 44.634563|(W 94.012497°--W 93.520159°/N 44.978712°--N 44.634563°).,Polyconic projection
"Chippewa County, Minnesota","Chippewa County, Minnesota","11-1-81. 5,S-38,425.""; Includes location map.; ""Source: 1979 general county highway map and information from SCS field personnel.",,,"Scale 1:100,000",English,United States. Soil Conservation Service,"U.S. Dept. of Agriculture, Soil Conservation Service (Washington, D.C.)",,"Agricultural Resources|Agriculture|Land Use, Rural",1981,,,https://umedia.lib.umn.edu/item/p16022coll624:907,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/907/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/907,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/907/manifest.json,UMN_ALMA:9957251330001701,p16022coll624:907,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Chippewa County,"W0960213 W0951444 N0450913 N0444510|(W 96°02'13""--W 95°14'44""/N 45°09'13""--N 44°45'10"").",Polyconic projection
"Clay County, Minnesota","Clay County, Minnesota","""Source: 1976 General highway map and information from SCS field personnel.""; ""8-3-81. 5,S-38,273.""; Includes location map.",,86 x 56 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"The Service (Washington, D.C.)",,"Agricultural Resources|Land Use, Rural",1981,,,https://umedia.lib.umn.edu/item/p16022coll624:941,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/941/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/941,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/941/manifest.json,UMN_ALMA:9950444950001701,p16022coll624:941,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Clay County,-96.840122 -96.172405 47.151435 46.628654|(W 96.840122°--W 96.172405°/N 47.151435°--N 46.628654°).,Polyconic projection
"Cottonwood County, Minnesota","Cottonwood County, Minnesota","""Source: 1979 General highway map and information from SCS field personnel with interpretations derived from soil survey published in 1979.""; ""11-20-81. 5,P-38,455.""; Includes location map.",,46 x 61 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"The Service (Washington, D.C.)",,"Agricultural Resources|Land Use, Rural",1982,,,https://umedia.lib.umn.edu/item/p16022coll624:929,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/929/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/929,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/929/manifest.json,UMN_ALMA:9950441760001701,p16022coll624:929,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Cottonwood County,-95.462886 -94.859113 44.195986 43.847624|(W 95.462886°--W 94.859113°/N 44.195986°--N 43.847624°).,Polyconic projection
"Dodge County, Minnesota","Dodge County, Minnesota","1-18-78. 5,R-36,644.""; Includes location map.; ""Source: general highway map, Dodge County, Minnesota, 1976 and information from field technicians.",,48 x 56 centimeters,"Scale 1:100,000",English,United States. Soil Conservation Service,"United States Dept. of Agriculture, Soil Conservation Service (Washington, D.C.)",,"Agricultural Resources|Agriculture|Land Use, Rural",1978,,,https://umedia.lib.umn.edu/item/p16022coll624:903,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/903/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/903,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/903/manifest.json,UMN_ALMA:9935163290001701,p16022coll624:903,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2024-01-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Minnesota,United States,North America,Dodge County,"W0930246 W0924040 N0441154 N0435054|(W 93ʻ02'46""--W 92ʻ40'40""/N 44ʻ11'54""--N 43ʻ50'54"")",Polyconic projection
