Identifier,Title,Description,Rights,Creator,Publisher,Date Issued,Temporal Coverage,Language,Spatial Coverage,Subject,Coordinates,Ark,additional_setSpec,Extracted Bounding Box,Resource Class,Date Accessioned,Code,Member Of,Accrual Method,Access Rights,Provider
oai:drupal-site.org:ui_hixson_1022,"Plat book of Linn County, Iowa, 1930","Extent: 1 atlas : 25 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Linn County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_124,"Plat book of Boone County, Iowa, 1930","Extent: 1 atlas : 18 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Boone County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_352,"Plat book of Clarke County, Iowa, 1930","Extent: 1 atlas : 14 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Clarke County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_583,"Plat book of Floyd County, Iowa, 1930","Extent: 1 atlas : 27 pages ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Floyd County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_829,"Plat book of Humboldt County, Iowa, 1930","Extent: 1 atlas : 14 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Humboldt County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_903,"Plat book of Jefferson County, Iowa, 1930","Extent: 1 atlas : 14 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Jefferson County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_1446,"Plat book of Polk County, Iowa, 1930","Extent: 1 atlas : 24 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Polk County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_1135,"Plat book of Marion County, Iowa, 1930","Extent: 1 atlas : 19 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Marion County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_1837,"Plat book of Woodbury County, Iowa, 1930","Extent: 1 atlas : 22 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Woodbury County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
oai:drupal-site.org:ui_hixson_865,"Plat book of Iowa County, Iowa, 1930","Extent: 1 atlas : 18 leaves ; 21 x 28 cm. | Abstract: W.W. Hixson & Co.'s 1930 plat book of Iowa County, Iowa, containing a map of the county and township maps showing land ownership | Notes: Contact The University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/sc/location-and-hours/|Master image scanned with Ricoh Aficio 3228C as a JPEG. Township maps and covers scanned at 600 ppi. County maps are composites of 300 ppi scans merged with Adobe Photoshop.",No known copyright restrictions.,University of Iowa. Libraries. Map Collection,W.W. Hixson & Co.,,,,,,,,ui_hixson,,Maps,20231130,03d,dc8c18df-7d64-4ff4-a754-d18d0891187d,OAI-PMH MODS,Public,University of Iowa
