Title,Spatial Coverage,Bounding Box
Stereogram No. 1 - D. H. Day State Park,Michigan--Leelanau County,
Stereogram No. 10 - Morgan School,Illinois--Union County,
Stereogram No. 101 - Devil's Tower,Wyoming--Crook County,
"Stereogram No. 102 - Mt.Tavurur, New Britain",Papua New Guinea--East New Britain Province,
Stereogram No. 103 - Ohio River Lock and Dam,Illinois--Livingston County,
Stereogram No. 105 - MT. Capulin,New Mexico--Union County,
Stereogram No. 106 - Brigantine Inlet,New Jersey--Atlantic County,
Stereogram No. 107 - Gazelle Peninsula,Papua New Guinea--East New Britain Province,
Stereogram No. 108 - Cove Mountain,Pennsylvania--Perry County,
Stereogram No. 109 - Teardrop,Wisconsin--Fond du Lac County,
